method,construction_type,n_cases,absent_n,absent_flood_rate,absent_median_fp_vox,absent_max_fp_vox,present_dominant_found_rate,small_n,small_lesionwise_mean,small_dominant_found_rate,small_lesion_tp,small_lesion_fn,small_lesion_fp,medium_n,medium_lesionwise_mean,medium_dominant_found_rate,medium_lesion_tp,medium_lesion_fn,medium_lesion_fp,large_n,large_lesionwise_mean,large_dominant_found_rate,large_lesion_tp,large_lesion_fn,large_lesion_fp
gmm_2d,intensity/statistical,100,33,0.9090909090909091,72438.0,798102,0.5970149253731343,31,0.015733917676178457,0.41935483870967744,13,53,18,19,0.023881082582336458,0.7368421052631579,14,41,5,17,0.08208281352006663,0.7647058823529411,13,46,4
gmm_T1c,intensity/statistical,100,33,0.9696969696969697,18837.0,1420869,0.4925373134328358,31,0.0005976993391608808,0.1935483870967742,6,60,25,19,0.019782772620888636,0.6842105263157895,13,42,6,17,0.17066766237600373,0.8235294117647058,14,45,3
otsu_T1c,intensity/statistical,100,33,0.9393939393939394,13935.0,740909,0.4626865671641791,31,0.00016016367460125748,0.25806451612903225,8,58,23,19,0.0030580804641909738,0.5263157894736842,10,45,9,17,0.16503766733855144,0.7647058823529411,13,46,4
sustraccion,intensity/statistical,100,33,0.9090909090909091,64675.0,122092,0.6567164179104478,31,0.0022851755659627896,0.41935483870967744,13,53,18,19,0.03887777683236264,0.7894736842105263,15,40,3,17,0.17205853178165853,0.9411764705882353,16,43,1
variational_spline,deformable/region-based,100,33,0.9696969696969697,18837.0,278959,0.4925373134328358,31,0.0007354880872298821,0.1935483870967742,6,60,25,19,0.02329667042067737,0.6842105263157895,13,42,6,17,0.1762380286972449,0.8235294117647058,14,45,3
