metodo,dice,jaccard,sensibilidad
otsu,0.32526,0.2545,0.58304
watershed,0.23893999999999999,0.19612000000000002,0.63838
gmm,0.20844000000000001,0.18389999999999998,0.39966
crecimiento,0.17916,0.16226000000000002,0.1633
