vol_bin,n_methods,spearman_lesionwise_vs_surface_asd_median,p_asd,spearman_lesionwise_vs_surface_hd95_median,p_hd95
small,5,-0.8999999999999998,0.03738607346849875,-0.8999999999999998,0.03738607346849875
medium,5,0.19999999999999998,0.7470600781046621,-0.6,0.28475697986529386
large,5,-0.9999999999999999,1.4042654220543608e-24,-0.8999999999999998,0.03738607346849875
