fold,min,max,mean,nonzero_voxels,p50_nonzero,p95_nonzero,p99_nonzero
0,0.0,0.09741038084030151,0.0013437881134450436,1542863,0.0004409033863339573,0.029641836881637573,0.053806547075510025
1,0.0,0.0974109023809433,0.0013859745813533664,1627708,0.0005299666663631797,0.028442706912755966,0.05350663512945175
2,0.0,0.07569583505392075,0.0011837385827675462,1689097,0.00036547932540997863,0.02196384035050869,0.03839975968003273
3,0.0,0.08152119070291519,0.0011442936956882477,1671607,0.00029818856273777783,0.021752946078777313,0.03962286561727524
4,0.0,0.06449274718761444,0.0011787057155743241,1646895,0.0002858114894479513,0.02562631294131279,0.04071040451526642
