case_id,iter,voxels,acceptable,score,selected_iter,selected_by_replay,patience_stop,best_lcc_fraction,best_pred_enhancement,best_init_enhancement,best_enhancement_ratio,best_volume_multiple,best_volume_stability
BraTS-GLI-00506-100,0,42941,True,2.0,,,False,1.0,0.4044155478477478,0.4044155478477478,1.0,1.0,0.0
BraTS-GLI-00506-100,1,29443,True,2.7588062565598284,,1.0,False,0.9837312773834188,0.44057565927505493,0.4044155478477478,1.0894132572789226,0.6856617218974872,0.6856617218974872
BraTS-GLI-00506-100,2,18689,True,2.7422662441023817,,1.0,False,0.9050243458719033,0.4863056540489197,0.4044155478477478,1.2024900047413642,0.43522507626743673,0.6347518934891145
BraTS-GLI-00506-100,3,13097,False,2.9060789429360048,,1.0,False,0.9334962205085134,0.5143341422080994,0.4044155478477478,1.2717961634890782,0.3049998835611653,0.700786558938413
BraTS-GLI-00506-100,4,8862,False,2.9885888964932077,,1.0,False,0.9689686301060708,0.5431206822395325,0.4044155478477478,1.342976760240691,0.20637619058708462,0.6766435061464458
BraTS-GLI-00506-100,5,6916,False,3.157506460131818,,1.0,False,1.0,0.5569189190864563,0.4044155478477478,1.3770957176357674,0.16105819612957314,0.7804107424960506
BraTS-GLI-00506-100,6,5029,False,3.178229573451352,,1.0,False,1.0,0.5868373513221741,0.4044155478477478,1.4510751489285063,0.11711417992128735,0.7271544245228456
BraTS-GLI-00506-100,7,3862,False,3.246497422343241,,1.0,False,0.9873122734334542,0.6030803322792053,0.4044155478477478,1.49123923520925,0.08993735590694209,0.7679459137005369
BraTS-GLI-00506-100,8,2743,False,3.206972675420868,,1.0,False,0.996718920889537,0.6247449517250061,0.4044155478477478,1.5448094294342183,0.06387834470552618,0.710253754531331
BraTS-GLI-00506-100,9,2157,False,2.9205794798442564,,1.0,False,0.6342141863699583,0.6292425394058228,0.4044155478477478,1.5559306331187757,0.05023171328101348,0.7863652934742982
BraTS-GLI-00506-100,10,1610,False,2.925910152414355,,1.0,False,0.6795031055900621,0.6394199132919312,0.4044155478477478,1.5810962676752887,0.037493304767005894,0.7464070468242929
BraTS-GLI-00506-100,11,1227,False,2.9890881663604105,,1.0,False,0.7269763651181744,0.6428249478340149,0.4044155478477478,1.5895159106890278,0.028574090030506975,0.762111801242236
BraTS-GLI-00506-100,12,850,False,2.995099477443789,,1.0,False,0.8023529411764706,0.6521254777908325,0.4044155478477478,1.612513369630243,0.01979460189562423,0.6927465362673186
BraTS-GLI-00506-100,13,567,False,3.0700570598609813,,1.0,False,0.9029982363315696,0.6581299304962158,0.4044155478477478,1.627360604701541,0.013204163852728162,0.6670588235294117
BraTS-GLI-00506-100,14,407,False,3.2178130511463845,,1.0,False,1.0,0.6611305475234985,0.4044155478477478,1.6347802428515865,0.009478121142963602,0.7178130511463845
BraTS-GLI-00506-100,15,275,False,3.1756756756756754,,1.0,False,1.0,0.6683495044708252,0.4044155478477478,1.6526305875916567,0.006404135907407839,0.6756756756756757
BraTS-GLI-00506-100,16,165,False,3.1,,1.0,False,1.0,0.672016978263855,0.4044155478477478,1.6616991652280697,0.0038424815444447033,0.6
BraTS-GLI-00506-100,17,44,False,2.7666666666666666,,1.0,False,1.0,0.6744329929351807,0.4044155478477478,1.667673254711482,0.0010246617451852543,0.2666666666666667
BraTS-GLI-00506-100,18,0,False,0.0,,1.0,False,0.0,0.0,0.4044155478477478,0.0,0.0,0.0
BraTS-GLI-00506-100,19,0,False,0.0,,1.0,False,0.0,0.0,0.4044155478477478,0.0,0.0,0.0
BraTS-GLI-00506-100,20,0,False,0.0,,1.0,False,0.0,0.0,0.4044155478477478,0.0,0.0,0.0
BraTS-GLI-00506-100,21,0,False,0.0,,1.0,False,0.0,0.0,0.4044155478477478,0.0,0.0,0.0
BraTS-GLI-00506-100,22,0,False,0.0,,1.0,False,0.0,0.0,0.4044155478477478,0.0,0.0,0.0
BraTS-GLI-00506-100,23,0,False,0.0,,1.0,False,0.0,0.0,0.4044155478477478,0.0,0.0,0.0
BraTS-GLI-00506-100,24,0,False,0.0,,1.0,False,0.0,0.0,0.4044155478477478,0.0,0.0,0.0
BraTS-GLI-00506-100,25,0,False,0.0,,1.0,True,0.0,0.0,0.4044155478477478,0.0,0.0,0.0
BraTS-GLI-02139-100,0,22054,True,2.0,,,False,1.0,0.334154337644577,0.334154337644577,1.0,1.0,0.0
BraTS-GLI-02139-100,1,22113,True,2.9540375142595594,,1.0,False,0.9962465518021073,0.3209439516067505,0.334154337644577,0.9604662141124807,1.0026752516550286,0.9973247483449714
BraTS-GLI-02139-100,2,19997,True,2.8761446108090993,,1.0,False,0.9977996699504926,0.32547810673713684,0.334154337644577,0.974035258771147,0.9067289380611226,0.9043096820874599
BraTS-GLI-02139-100,3,19345,True,2.9331445113324492,,1.0,False,1.0,0.3227093517780304,0.334154337644577,0.9657494020660594,0.8771651401106375,0.9673951092663899
BraTS-GLI-02139-100,4,17599,True,2.8913384481149453,,1.0,False,1.0,0.32800400257110596,0.334154337644577,0.9815943281873154,0.7979958284211481,0.9097441199276299
BraTS-GLI-02139-100,5,17050,True,2.9327725198148324,,1.0,False,0.9999413489736071,0.32213351130485535,0.334154337644577,0.9640261250999901,0.7731023850548653,0.9688050457412353
BraTS-GLI-02139-100,6,15505,True,2.886805418751025,,1.0,False,1.0,0.3266095519065857,0.334154337644577,0.9774212545281505,0.7030470662918291,0.9093841642228739
BraTS-GLI-02139-100,7,15047,True,2.939681534885003,,1.0,False,1.0,0.3238691985607147,0.334154337644577,0.9692203933177665,0.682279858529065,0.9704611415672364
