case_id,iter,raw_voxels,raw_dice,score_acceptable,proxy_score,selected_by_proxy_replay,selector_already_stopped,restriction_used,guard_input_voxels,evidence_accept,score_best_lcc_fraction,score_best_pred_enhancement,score_best_init_enhancement,score_best_enhancement_ratio,score_best_volume_multiple,score_best_volume_stability,evidence_lcc_fraction,evidence_pred_enhancement,evidence_init_enhancement,evidence_enhancement_ratio,evidence_volume_multiple,post_voxels,post_dice,post_branch,post_reason
BraTS-GLI-02108-100,0,44395,0.537798323855982,True,2.0,,False,True,44395,True,1.0,0.4652242064476013,0.4652242064476013,1.0,1.0,0.0,1.0,0.4652242064476013,0.4652242064476013,1.0,1.0,44395,0.537798323855982,ROI-fallback,final_equals_init_no_collapse
BraTS-GLI-02108-100,1,53130,0.6440947300247708,True,2.7119202204483797,1.0,False,True,52530,True,0.9889328063241106,0.42788708209991455,0.4652242064476013,0.9197438056097967,1.1967563914855277,0.8032436085144723,0.9888063963449457,0.4321115016937256,0.4652242064476013,0.9288242006865453,1.1832413560085595,51974,0.648162727009696,evolved,accepted
BraTS-GLI-02108-100,2,54546,0.6698635482740146,True,2.855497110896168,2.0,False,True,53523,True,0.9967733655996773,0.41189804673194885,0.4652242064476013,0.8853753545567955,1.2286518752111724,0.973348390739695,0.9967116940380771,0.41885265707969666,0.4652242064476013,0.9003242979938803,1.2056087397229418,53414,0.6736106946027176,evolved,accepted
BraTS-GLI-02108-100,3,57352,0.6919835059579856,True,2.792465510462075,2.0,False,True,55827,False,0.9892244385548891,0.3976196348667145,0.4652242064476013,0.8546838908123299,1.2918571911251266,0.9485571810948558,0.9893599871030146,0.40728282928466797,0.4652242064476013,0.8754549390166796,1.2575064759544994,55311,0.6996327836055648,evolved,accepted
BraTS-GLI-02108-100,4,58472,0.7026528704509557,True,2.818548884860205,2.0,False,True,56729,False,0.9950916678068135,0.39217737317085266,0.4652242064476013,0.8429857426497088,1.3170852573488006,0.9804714744036825,0.995275784871935,0.4028952121734619,0.4652242064476013,0.8660237506769554,1.277824079288208,56754,0.7086970410112323,evolved,accepted
BraTS-GLI-02108-100,5,60654,0.7154364037457803,True,2.7897328651530695,2.0,False,True,58623,False,0.9977412866422659,0.3858144283294678,0.4652242064476013,0.8293085849412318,1.366234936366708,0.9626829935695718,0.997782440339116,0.3976738452911377,0.4652242064476013,0.854800416185842,1.320486541277171,58793,0.7219177024627499,evolved,accepted
BraTS-GLI-02108-100,6,61292,0.720828188811853,True,2.814634700404459,2.0,False,True,59144,False,0.9996410624551328,0.38404831290245056,0.4652242064476013,0.8255123176736642,1.3806059240905508,0.9894813202756619,0.999611118625727,0.39645621180534363,0.4652242064476013,0.8521831115208681,1.3322220970830048,59421,0.7274195201968423,evolved,accepted
BraTS-GLI-02108-100,7,63110,0.7295512447340582,True,2.7863151616037882,2.0,False,True,60678,False,1.0,0.379611998796463,0.4652242064476013,0.8159764550841769,1.4215564815857642,0.9703387065196111,0.9999835195622796,0.39316943287849426,0.4652242064476013,0.8451181762030204,1.3667755377857866,60987,0.7372200723212586,evolved,accepted
BraTS-GLI-02108-100,8,63598,0.7324717144800644,True,2.806369909586428,2.0,False,True,61055,False,1.0,0.3787401616573334,0.4652242064476013,0.8141024400887258,1.432548710440365,0.9922674694977024,0.9999836213250348,0.39286330342292786,0.4652242064476013,0.8444601505643633,1.3752674850771482,61377,0.7405897987596507,evolved,accepted
BraTS-GLI-02108-100,9,65323,0.7403652618450786,True,2.779912857239056,2.0,False,True,62538,False,1.0,0.37545284628868103,0.4652242064476013,0.8070363516885674,1.4714044374366482,0.972876505550489,0.999984009722089,0.39043569564819336,0.4652242064476013,0.8392420046874077,1.408672147764388,62862,0.7494561299018839,evolved,accepted
BraTS-GLI-02108-100,10,65777,0.7441448097524935,True,2.7998589875140967,2.0,True,True,62945,False,1.0,0.3753471076488495,0.4652242064476013,0.8068090663530966,1.4816308142808874,0.993049921161,0.9999841131146239,0.390505313873291,0.4652242064476013,0.8393916491472893,1.4178398468295978,63269,0.7534518985441994,evolved,accepted
BraTS-GLI-02108-100,11,67517,0.7524853801169591,True,2.774236002437027,2.0,True,True,64478,False,1.0,0.37249991297721863,0.4652242064476013,0.8006890179287643,1.520824417164095,0.9735469845082627,0.9999844908340829,0.38822710514068604,0.4652242064476013,0.8344946366938721,1.4523707624732516,64802,0.762649818823748,evolved,accepted
BraTS-GLI-02108-100,12,68010,0.7562085112327136,True,2.7936449952299163,2.0,True,True,64934,False,1.0,0.3726198673248291,0.4652242064476013,0.8009468599454694,1.531929271314337,0.9926981352844468,0.9999537992423075,0.3884626626968384,0.4652242064476013,0.8350009679485397,1.4626421894357473,65256,0.7665396327339885,evolved,accepted
BraTS-GLI-02108-100,13,69888,0.7646023863424828,True,2.7669385995134803,2.0,True,True,66574,False,1.0,0.3696449100971222,0.4652242064476013,0.7945521857507981,1.5742313323572474,0.972386413762682,0.9999849791209782,0.3861229121685028,0.4652242064476013,0.8299716713300305,1.499583286406127,67487,0.7731066837263145,evolved,accepted
BraTS-GLI-02108-100,14,70510,0.7688165931810975,True,2.7856587016113097,2.0,True,True,67142,False,1.0,0.36964792013168335,0.4652242064476013,0.794558655823764,1.5882419191350376,0.9911000457875457,0.999985106192845,0.386281818151474,0.4652242064476013,0.8303132399345203,1.51237751999099,68055,0.7774957801551932,evolved,accepted
BraTS-GLI-02108-100,15,72430,0.7772145759523993,True,2.7612825448516647,2.0,True,True,68807,False,1.0,0.36683520674705505,0.4652242064476013,0.7885127249679603,1.6314900326613357,0.9727698198837045,0.9999854665949686,0.384149968624115,0.4652242064476013,0.8257308267715476,1.5498817434395766,69725,0.7868580496249279,evolved,accepted
BraTS-GLI-02108-100,16,72995,0.7806623515957509,True,2.781002218193411,2.0,True,True,69319,False,1.0,0.3669701814651489,0.4652242064476013,0.7888028532893658,1.644216691068814,0.9921993649040453,0.9999855739407666,0.3844344913959503,0.4652242064476013,0.8263424088171336,1.561414573713256,70238,0.7905034126113818,evolved,accepted
BraTS-GLI-02108-100,17,75078,0.7901770895813558,True,2.7545980995401482,2.0,True,True,71157,False,1.0,0.36433303356170654,0.4652242064476013,0.7831343006498132,1.6911363892330218,0.971463798890335,0.9999859465688548,0.3823235332965851,0.4652242064476013,0.821804901804151,1.602815632391035,72092,0.8009363795300323,evolved,accepted
BraTS-GLI-02108-100,18,75701,0.7936336629067446,True,2.77506527890026,2.0,True,True,71702,False,1.0,0.36443957686424255,0.4652242064476013,0.7833633156087499,1.7051695010699404,0.9917019632915102,0.9999860533876321,0.3826711177825928,0.4652242064476013,0.8225520350813762,1.6150917896159478,72639,0.8047282050070297,evolved,accepted
