source,path,mtime,voxels,gt_dice,guard_branch,guard_reason,notes
1_current_code_best_off_gate0_env,,,37589,0.44810567571490784,collapse-detected,low_seed_overlap,ENABLE_BEST_ITERATE=False; ENABLE_EVIDENCE_GUARD=False
1b_current_code_best_off_default_3a_guard_on,,,46954,0.7473262591040982,evolved,accepted_evidence_seed_divergence,ENABLE_BEST_ITERATE=False; ENABLE_EVIDENCE_GUARD=True
2_current_code_3b_bypassed_direct_3a_path,,,46954,0.7473262591040982,evolved,accepted_evidence_seed_divergence,Direct pre-3B variational_spline body; 3A evidence guard ON
3_output_segmentacion_mask_on_disk,C:\Users\LENOVO LOQ\Downloads\brats-final (3)\brats-final\output\segmentacion\BraTS-GLI-02116-100\BraTS-GLI-02116-100-et_variational_spline.nii.gz,2026-07-05T23:11:24.473637,37588,0.4480915961278499,collapse-detected,low_seed_overlap,Persisted NIfTI currently on disk
4_frozen_mask_harness_compares_against,C:\Users\LENOVO LOQ\Downloads\brats-final (3)\brats-final\output\segmentacion\BraTS-GLI-02116-100\BraTS-GLI-02116-100-et_variational_spline.nii.gz,2026-07-05T23:11:24.473637,37588,0.4480915961278499,collapse-detected,low_seed_overlap,stage3b_validate.py reads this same path
5_stage3a_reported_result,C:\Users\LENOVO LOQ\Downloads\brats-final (3)\brats-final\analysis\stage3a_variational_spline.csv,2026-07-06T07:15:53.534529,46954,0.7473,evolved,accepted_evidence_seed_divergence,Reported artifact only; no mask file was written by 3A
