case_id,stratum,returncode,external_total_wall_s,cleanup_s,segmentation_phase_s,segmentation_case_wall_s,segmentation_shared_preproc_s,visualization_s,poisson_s,disk_free_delta_bytes,provenance,log,cleaned_bytes,masks_bytes,figures_bytes,tables_bytes,provenance_bytes,total_output_bytes,cleaned_mb,masks_mb,figures_mb,tables_mb,provenance_mb,total_output_mb,disk_free_delta_mb,cleanup_min,segmentation_phase_min,segmentation_case_wall_min,visualization_min,poisson_min,external_total_wall_min
BraTS-GLI-00543-101,absent,0,70.604,7.8728,54.1109,53.7837,2.4497,1.7166,4.3253,21364736,analysis\pre_cohort_run\raw_3case_correct\BraTS-GLI-00543-101\provenance\provenance_20260707_070623.json,analysis\pre_cohort_run\raw_3case_correct\BraTS-GLI-00543-101.log,20315901,118645,778764,510,11762,21225582,19.37475299835205,0.11314868927001953,0.7426872253417969,0.0004863739013671875,0.011217117309570312,20.242292404174805,20.375,0.13121333333333332,0.9018483333333334,0.896395,0.02861,0.07208833333333334,1.1767333333333334
BraTS-GLI-02061-100,small,0,35.346,10.6764,20.2172,19.787,2.141,1.5825,0.7008,24018944,analysis\pre_cohort_run\raw_3case_correct\BraTS-GLI-02061-100\provenance\provenance_20260707_070658.json,analysis\pre_cohort_run\raw_3case_correct\BraTS-GLI-02061-100.log,20645087,157779,403553,517,11764,21218700,19.68868923187256,0.15046977996826172,0.3848581314086914,0.0004930496215820312,0.011219024658203125,20.235729217529297,22.90625,0.17794,0.3369533333333333,0.3297833333333333,0.026375,0.01168,0.5891
BraTS-GLI-02086-100,large,0,28.792,10.9923,13.158,12.7621,2.2521,1.7984,0.6846,13864960,analysis\pre_cohort_run\raw_3case_correct\BraTS-GLI-02086-100\provenance\provenance_20260707_070727.json,analysis\pre_cohort_run\raw_3case_correct\BraTS-GLI-02086-100.log,19251462,149024,791621,537,11782,20204426,18.3596248626709,0.142120361328125,0.754948616027832,0.0005121231079101562,0.011236190795898438,19.268442153930664,13.22265625,0.183205,0.2193,0.21270166666666668,0.029973333333333334,0.01141,0.4798666666666667
