case_id,method,dice_recomputed,dice_csv,dice_abs_diff,jaccard_recomputed,jaccard_csv,jaccard_abs_diff,vol_gt_recomputed,vol_gt_csv,vol_pred_recomputed,vol_pred_csv
BraTS-GLI-00528-100,gmm_T1c,0.03580681103546332,0.0358,6.811035463322179e-06,0.018229780673630982,0.0182,2.978067363098094e-05,67375,67375,1102961,1102961
BraTS-GLI-00528-100,level_set,0.36113488560164436,0.3611,3.488560164438548e-05,0.22035668611703943,0.2204,4.3313882960582806e-05,67375,67375,229395,229395
BraTS-GLI-00528-100,otsu_T1c,0.13023040984913203,0.1302,3.0409849132023714e-05,0.0696505123065051,0.0697,4.948769349490123e-05,67375,67375,911229,911229
BraTS-GLI-00528-100,rango_doble,0.26637341047246266,0.2664,2.658952753736843e-05,0.15365097194607347,0.1537,4.902805392653642e-05,67375,67375,392746,392746
BraTS-GLI-00528-100,spline,0.36113488560164436,0.3611,3.488560164438548e-05,0.22035668611703943,0.2204,4.3313882960582806e-05,67375,67375,229395,229395
BraTS-GLI-00528-100,sustraccion,0.4399303540336622,0.4399,3.0354033662194357e-05,0.2819940476190476,0.282,5.952380952356506e-06,67375,67375,113540,113540
BraTS-GLI-00528-100,variational_spline,0.36113488560164436,0.3611,3.488560164438548e-05,0.22035668611703943,0.2204,4.3313882960582806e-05,67375,67375,229395,229395
BraTS-GLI-00533-100,bspline,0.0,0.0,0.0,0.0,0.0,0.0,31750,31750,15501,15501
BraTS-GLI-00533-100,fast_marching,0.0,0.0,0.0,0.0,0.0,0.0,31750,31750,2049,2049
BraTS-GLI-00533-100,gmm_2d,0.24123251571052098,0.2412,3.251571052098612e-05,0.13715998155832182,0.1372,4.001844167816904e-05,31750,31750,155704,155704
BraTS-GLI-00533-100,gmm_T1c,0.0,0.0,0.0,0.0,0.0,0.0,31750,31750,15501,15501
BraTS-GLI-00533-100,level_set,0.0,0.0,0.0,0.0,0.0,0.0,31750,31750,15501,15501
BraTS-GLI-00533-100,otsu_T1c,0.0,0.0,0.0,0.0,0.0,0.0,31750,31750,16867,16867
BraTS-GLI-00533-100,rango_doble,0.1815029039748342,0.1815,2.9039748342118976e-06,0.09980928997442975,0.0998,9.289974429754766e-06,31750,31750,303308,303308
BraTS-GLI-00533-100,spline,0.0,0.0,0.0,0.0,0.0,0.0,31750,31750,16882,16882
BraTS-GLI-00533-100,sustraccion,0.09539776293277621,0.0954,2.2370672237842504e-06,0.05008802419536857,0.0501,1.1975804631428333e-05,31750,31750,84563,84563
BraTS-GLI-00533-100,variational_spline,0.0,0.0,0.0,0.0,0.0,0.0,31750,31750,15501,15501
BraTS-GLI-02066-100,bspline,0.7423505862167572,0.7424,4.941378324274659e-05,0.590268303774443,0.5903,3.16962255570985e-05,27899,27899,17562,17562
BraTS-GLI-02066-100,fast_marching,0.4855027594561852,0.4855,2.7594561852195554e-06,0.3205702502844141,0.3206,2.974971558589168e-05,27899,27899,9246,9246
BraTS-GLI-02066-100,gmm_2d,0.45678225729023925,0.4568,1.774270976073744e-05,0.29599339396407404,0.296,6.606035925948994e-06,27899,27899,86672,86672
BraTS-GLI-02066-100,gmm_T1c,0.6801273721637561,0.6801,2.737216375603424e-05,0.5152977323870521,0.5153,2.2676129478593765e-06,27899,27899,42132,42132
BraTS-GLI-02066-100,level_set,0.7278996376670432,0.7279,3.6233295674925614e-07,0.5722029953140793,0.5722,2.9953140792127186e-06,27899,27899,23435,23435
BraTS-GLI-02066-100,otsu_T1c,0.6610660788363737,0.6611,3.392116362632702e-05,0.49372569354420537,0.4937,2.5693544205340757e-05,27899,27899,29714,29714
BraTS-GLI-02066-100,rango_doble,0.14844797119327843,0.1484,4.79711932784288e-05,0.08017488511459729,0.0802,2.5114885402702236e-05,27899,27899,272031,272031
BraTS-GLI-02066-100,spline,0.6842744719039072,0.6843,2.552809609279727e-05,0.5200738735335474,0.5201,2.612646645261396e-05,27899,27899,44531,44531
BraTS-GLI-02066-100,sustraccion,0.4491064763995609,0.4491,6.47639956091739e-06,0.28957918101105273,0.2896,2.081898894729095e-05,27899,27899,85976,85976
BraTS-GLI-02066-100,variational_spline,0.7585572161107946,0.7586,4.27838892054222e-05,0.6110287368495375,0.611,2.873684953752509e-05,27899,27899,17735,17735
BraTS-GLI-02071-100,bspline,0.5008762277377022,0.5009,2.3772262297772073e-05,0.33411265767725096,0.3341,1.2657677250949018e-05,35203,35203,13871,13871
BraTS-GLI-02071-100,fast_marching,0.2535121484786819,0.2535,1.2148478681917041e-05,0.14515540331863996,0.1452,4.459668136003181e-05,35203,35203,5584,5584
BraTS-GLI-02071-100,gmm_2d,0.433059771592426,0.4331,4.022840757400559e-05,0.276372872264904,0.2764,2.712773509599975e-05,35203,35203,126613,126613
