mode,method,threshold,n_cases,absent_n,absent_flood_rate,absent_median_fp_vox,absent_max_fp_vox,small_n,small_lesionwise_mean,small_lesion_tp,small_lesion_fn,small_lesion_fp,medium_n,medium_lesionwise_mean,medium_lesion_tp,medium_lesion_fn,medium_lesion_fp,large_n,large_lesionwise_mean,large_lesion_tp,large_lesion_fn,large_lesion_fp,selection,delta_absent_flood_vs_otsu,delta_absent_flood_ci_low,delta_absent_flood_ci_high,delta_absent_median_fp_vs_otsu,paired_absent_fp_vox_delta_median_ci_low,paired_absent_fp_vox_delta_median_ci_high,small_delta_vs_detection_best,small_delta_ci_low,small_delta_ci_high,small_detection_baseline_method,medium_delta_vs_detection_best,medium_delta_ci_low,medium_delta_ci_high,medium_detection_baseline_method,large_delta_vs_detection_best,large_delta_ci_low,large_delta_ci_high,large_detection_baseline_method,no_point_detection_regression
map_atlas_x_enhancement,atlas_map,0.05,100,33,0.0,0.0,71,31,0.0,0,66,7,19,0.0,0,55,4,17,0.00012481125818072434,2,57,4,best_fp,-0.9393939393939394,-1.0,-0.8484848484848485,-13935.0,-18535.0,-13765.900000000034,-0.003375641289721859,-0.004677575325999683,-0.0020277658316282337,sustraccion,-0.02329667042067737,-0.056114406570467436,-0.0036728028424572556,variational_spline,-0.17611321743906416,-0.27807619602022254,-0.09741132074705097,variational_spline,False
post_filter,variational_spline,0.02,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.03290886125143837,2,57,0,best_fp,-0.9393939393939394,-1.0,-0.8484848484848485,-13935.0,-18535.0,-13765.900000000034,-0.003375641289721859,-0.004677575325999683,-0.0020277658316282337,sustraccion,-0.02329667042067737,-0.056114406570467436,-0.0036728028424572556,variational_spline,-0.1433291674458065,-0.24730337234487862,-0.0646108241934117,variational_spline,False
pre_filter,variational_spline,0.05,100,33,0.0,0.0,1584,31,0.0,0,66,25,19,0.004633568772604983,2,53,18,17,0.002662783255800605,4,55,4,best_fp,-0.9393939393939394,-1.0,-0.8484848484848485,-13935.0,-18535.0,-13528.0,-0.003375641289721859,-0.004677575325999683,-0.0020277658316282337,sustraccion,-0.018663101648072385,-0.05189532068304142,0.0006147672929824309,variational_spline,-0.1735752454414443,-0.2751377129376017,-0.09483314231667248,variational_spline,False
