method,absent_flood_rate,absent_median_fp_vox,delta_absent_flood_vs_otsu,delta_absent_flood_ci_low,delta_absent_flood_ci_high,paired_flood_mcnemar_p,delta_absent_median_fp_vs_otsu,paired_absent_fp_vox_delta_median_ci_low,paired_absent_fp_vox_delta_median_ci_high,paired_fp_vox_wilcoxon_p,small_lesionwise_mean,small_detection_baseline_mean,small_retention_vs_detection_baseline,small_delta_vs_detection_best,small_delta_ci_low,small_delta_ci_high,small_paired_wilcoxon_p,small_dominant_found_rate,small_baseline_dominant_found_rate,small_dominant_found_delta,medium_lesionwise_mean,medium_detection_baseline_mean,medium_retention_vs_detection_baseline,medium_delta_vs_detection_best,medium_delta_ci_low,medium_delta_ci_high,medium_paired_wilcoxon_p,medium_dominant_found_rate,medium_baseline_dominant_found_rate,medium_dominant_found_delta,large_lesionwise_mean,large_detection_baseline_mean,large_retention_vs_detection_baseline,large_delta_vs_detection_best,large_delta_ci_low,large_delta_ci_high,large_paired_wilcoxon_p,large_dominant_found_rate,large_baseline_dominant_found_rate,large_dominant_found_delta,large_detection_preserved_90pct
gmm_2d,0.8787878787878788,17449.0,-0.06060606060606061,-0.21212121212121213,0.09090909090909091,0.6875,3514.0,-2521.0,6755.0,0.7643533307127655,0.0029725578653077033,0.003375641289721859,0.8805905634459851,-0.0004030834244141556,-0.001786920294467461,0.0008267378635878239,,0.6129032258064516,0.8387096774193549,-0.22580645161290325,0.002396703811284239,0.02329667042067737,0.10287752575823034,-0.02089996660939313,-0.05412685100650618,-0.0008989236529917915,0.12083865311418159,0.6842105263157895,0.6842105263157895,0.0,0.0027218786361599212,0.1762380286972449,0.015444332056367764,-0.17351615006108498,-0.2762035464701278,-0.09430020080498634,0.0006561279296875,0.8823529411764706,0.8235294117647058,0.05882352941176472,False
gmm_T1c,0.030303030303030304,0.0,-0.9090909090909091,-1.0,-0.7878787878787878,1.862645149230957e-09,-13935.0,-17138.0,-13528.0,7.606142212661688e-06,0.0,0.003375641289721859,0.0,-0.003375641289721859,-0.004677575325999683,-0.0020277658316282337,,0.0,0.8387096774193549,-0.8387096774193549,0.0,0.02329667042067737,0.0,-0.02329667042067737,-0.056114406570467436,-0.0036728028424572556,0.0014737808438751421,0.0,0.6842105263157895,-0.6842105263157895,0.014311121667132658,0.1762380286972449,0.08120336894891961,-0.16192690703011223,-0.2691368203263076,-0.08251377764775977,0.001523275741372569,0.058823529411764705,0.8235294117647058,-0.7647058823529411,False
otsu_T1c,0.0,0.0,-0.9393939393939394,-1.0,-0.8484848484848485,9.313225746154785e-10,-13935.0,-18535.0,-13765.900000000034,5.385990057983034e-07,0.0,0.003375641289721859,0.0,-0.003375641289721859,-0.004677575325999683,-0.0020277658316282337,,0.0,0.8387096774193549,-0.8387096774193549,0.0,0.02329667042067737,0.0,-0.02329667042067737,-0.056114406570467436,-0.0036728028424572556,0.0014737808438751421,0.0,0.6842105263157895,-0.6842105263157895,0.013103546465144434,0.1762380286972449,0.07435141304068206,-0.16313448223210045,-0.2699163009026961,-0.08283672609815018,0.0009815397525216685,0.058823529411764705,0.8235294117647058,-0.7647058823529411,False
sustraccion,0.45454545454545453,9711.0,-0.48484848484848486,-0.6666666666666666,-0.30303030303030304,0.00014495849609375,-4224.0,-9112.25,-3831.0,6.21182844042778e-05,0.0031500142868025904,0.003375641289721859,0.933160255028798,-0.0002256270029192683,-0.0005209932827767451,-2.352179222058894e-05,,0.5483870967741935,0.8387096774193549,-0.29032258064516137,0.004969532664242561,0.02329667042067737,0.21331514652118547,-0.018327137756434807,-0.05244811329479919,0.0021331867510405965,0.7771175732880233,0.7368421052631579,0.6842105263157895,0.05263157894736836,0.005678027940227921,0.1762380286972449,0.032217949679759925,-0.17056000075701697,-0.2741332969706745,-0.08991724328808794,0.0008392333984375,0.9411764705882353,0.8235294117647058,0.11764705882352944,False
variational_spline,0.0,0.0,-0.9393939393939394,-1.0,-0.8484848484848485,9.313225746154785e-10,-13935.0,-18535.0,-13765.900000000034,5.385990057983034e-07,0.0,0.003375641289721859,0.0,-0.003375641289721859,-0.004677575325999683,-0.0020277658316282337,,0.0,0.8387096774193549,-0.8387096774193549,0.0,0.02329667042067737,0.0,-0.02329667042067737,-0.056114406570467436,-0.0036728028424572556,0.0014737808438751421,0.0,0.6842105263157895,-0.6842105263157895,0.11135939201887915,0.1762380286972449,0.6318692556995221,-0.06487863667836574,-0.1140670200325771,-0.02395753145251278,0.007685794055213263,0.29411764705882354,0.8235294117647058,-0.5294117647058822,False
