case_id,fold,gmm_centroid_zyx,atlas_value,atlas_max,value_over_max,percentile_among_nonzero_atlas_voxels,percentile_among_all_grid_voxels,fraction_nonzero_voxels_below_seed
BraTS-GLI-00533-100,0,87.04;52.18;87.33,0.028919881209731102,0.09741038084030151,0.29688705618699424,94.80083455238734,98.88913385233579,0.9480083455238735
BraTS-GLI-00533-100,1,87.04;52.18;87.33,0.028923004865646362,0.0974109023809433,0.29691753344546196,95.13291081692785,98.9028991977878,0.9513291081692785
BraTS-GLI-00533-100,2,87.04;52.18;87.33,0.012584070675075054,0.07569583505392075,0.16624521898874606,83.49141582751021,96.13841899606594,0.8349141582751021
BraTS-GLI-00533-100,3,87.04;52.18;87.33,0.01674693636596203,0.08152119070291519,0.20543046809745824,90.02845764584619,97.69167343393576,0.9002845764584619
BraTS-GLI-00533-100,4,87.04;52.18;87.33,0.02937217988073826,0.06449274718761444,0.4554338458445923,96.22762835517747,99.1396382123774,0.9622762835517747
BraTS-GLI-02078-100,0,74.17;52.27;91.15,0.019680023193359375,0.09741038084030151,0.2020320937418733,90.86017358637805,98.04716278781204,0.9086017358637806
BraTS-GLI-02078-100,1,74.17;52.27;91.15,0.019680023193359375,0.0974109023809433,0.20203101205650487,91.68186185728644,98.12499099851657,0.9168186185728644
BraTS-GLI-02078-100,2,74.17;52.27;91.15,0.00941976998001337,0.07569583505392075,0.12444238145075412,78.50727341295378,94.97256070877404,0.7850727341295378
BraTS-GLI-02078-100,3,74.17;52.27;91.15,0.01045409869402647,0.08152119070291519,0.12823780668420282,80.87840024599083,95.57351359196304,0.8087840024599083
BraTS-GLI-02078-100,4,74.17;52.27;91.15,0.02005108818411827,0.06449274718761444,0.3109045444410685,92.68593322585835,98.33188663337872,0.9268593322585835
