method,construction_type,n_cases,absent_n,absent_flood_rate,absent_median_fp_vox,absent_max_fp_vox,present_dominant_found_rate,small_n,small_lesionwise_mean,small_dominant_found_rate,small_lesion_tp,small_lesion_fn,small_lesion_fp,medium_n,medium_lesionwise_mean,medium_dominant_found_rate,medium_lesion_tp,medium_lesion_fn,medium_lesion_fp,large_n,large_lesionwise_mean,large_dominant_found_rate,large_lesion_tp,large_lesion_fn,large_lesion_fp,delta_absent_flood_vs_otsu,delta_absent_flood_ci_low,delta_absent_flood_ci_high,delta_absent_median_fp_vs_otsu,paired_absent_fp_vox_delta_median_ci_low,paired_absent_fp_vox_delta_median_ci_high,paired_fp_vox_wilcoxon_p,small_detection_baseline_mean,small_retention_vs_detection_baseline,small_delta_vs_detection_best,small_delta_ci_low,small_delta_ci_high,small_baseline_dominant_found_rate,small_dominant_found_delta,medium_detection_baseline_mean,medium_retention_vs_detection_baseline,medium_delta_vs_detection_best,medium_delta_ci_low,medium_delta_ci_high,medium_baseline_dominant_found_rate,medium_dominant_found_delta,large_detection_baseline_mean,large_retention_vs_detection_baseline,large_delta_vs_detection_best,large_delta_ci_low,large_delta_ci_high,large_baseline_dominant_found_rate,large_dominant_found_delta,large_detection_preserved_90pct
gmm_2d,intensity/statistical,100,33,0.9090909090909091,72438.0,798102,0.5970149253731343,31,0.015733917676178457,0.41935483870967744,13,53,18,19,0.023881082582336458,0.7368421052631579,14,41,5,17,0.08208281352006663,0.7647058823529411,13,46,4,-0.030303030303030304,-0.18181818181818182,0.09090909090909091,58503.0,12913.0,71398.0,0.23464361624792218,0.003375641289721859,4.661015885806657,0.0123582763864566,-0.002930695188758459,0.04147296847664848,0.8387096774193549,-0.41935483870967744,0.02329667042067737,1.0250856517736708,0.0005844121616590916,-0.035574532413604774,0.024303371999964168,0.6842105263157895,0.05263157894736836,0.1762380286972449,0.46574972567966444,-0.09415521517717827,-0.21039783117500038,-0.005308503104264293,0.8235294117647058,-0.05882352941176472,False
gmm_T1c,intensity/statistical,100,33,0.9696969696969697,18837.0,1420869,0.4925373134328358,31,0.0005976993391608808,0.1935483870967742,6,60,25,19,0.019782772620888636,0.6842105263157895,13,42,6,17,0.17066766237600373,0.8235294117647058,14,45,3,0.030303030303030304,0.0,0.09090909090909091,4902.0,1941.0,4801.324999999802,6.437767297029495e-07,0.003375641289721859,0.17706245654144406,-0.0027779419505609784,-0.0042680489238299014,-0.0011002229697972886,0.8387096774193549,-0.6451612903225807,0.02329667042067737,0.8491673815898639,-0.0035138977997887315,-0.009337021300062153,1.6840966533264446e-05,0.6842105263157895,0.0,0.1762380286972449,0.9683929378782921,-0.005570366321241156,-0.017026058053049988,0.0029208787333439307,0.8235294117647058,0.0,True
otsu_T1c,intensity/statistical,100,33,0.9393939393939394,13935.0,740909,0.4626865671641791,31,0.00016016367460125748,0.25806451612903225,8,58,23,19,0.0030580804641909738,0.5263157894736842,10,45,9,17,0.16503766733855144,0.7647058823529411,13,46,4,0.0,0.0,0.0,0.0,0.0,0.0,,0.003375641289721859,0.04744688811839199,-0.003215477615120601,-0.004545995884512855,-0.001919337864921981,0.8387096774193549,-0.5806451612903226,0.02329667042067737,0.13126684667679897,-0.02023858995648639,-0.05274552667536847,-0.0016109547240040858,0.6842105263157895,-0.1578947368421053,0.1762380286972449,0.9364475338184003,-0.011200361358693463,-0.02785602858947481,0.0035517922552946303,0.8235294117647058,-0.05882352941176472,True
sustraccion,intensity/statistical,100,33,0.9090909090909091,64675.0,122092,0.6567164179104478,31,0.0022851755659627896,0.41935483870967744,13,53,18,19,0.03887777683236264,0.7894736842105263,15,40,3,17,0.17205853178165853,0.9411764705882353,16,43,1,-0.030303030303030304,-0.15151515151515152,0.09090909090909091,50740.0,7620.0,54098.0,0.27976055652834475,0.003375641289721859,0.6769604261331571,-0.0010904657237590697,-0.003275245508570702,0.0014967367484782078,0.8387096774193549,-0.41935483870967744,0.02329667042067737,1.668812586963328,0.015581106411685267,-0.014818708790105465,0.0423117832752675,0.6842105263157895,0.10526315789473684,0.1762380286972449,0.9762849315412724,-0.004179496915586398,-0.0811356234437399,0.06308888402533791,0.8235294117647058,0.11764705882352944,True
variational_spline,deformable/region-based,100,33,0.9696969696969697,18837.0,278959,0.4925373134328358,31,0.0007354880872298821,0.1935483870967742,6,60,25,19,0.02329667042067737,0.6842105263157895,13,42,6,17,0.1762380286972449,0.8235294117647058,14,45,3,0.030303030303030304,0.0,0.09090909090909091,4902.0,710.0,2719.0,0.23464361624792218,0.003375641289721859,0.21788099626263424,-0.0026401532024919773,-0.004143688107220479,-0.0009966933249545538,0.8387096774193549,-0.6451612903225807,0.02329667042067737,1.0,0.0,0.0,0.0,0.6842105263157895,0.0,0.1762380286972449,1.0,0.0,0.0,0.0,0.8235294117647058,0.0,True
