holdout_fold,method,k,train_absent_flood_rate,train_absent_median_fp_vox,train_large_lesionwise_mean,train_large_own_baseline_mean,train_large_retention_vs_own_baseline,train_keeps_90pct_large,selected_k_for_fold_method,selection_policy,is_selected
0,otsu_T1c,0,0.0,0.0,0.0,0.16881463498845864,0.0,False,,,False
0,otsu_T1c,1,0.9230769230769231,14165.5,0.16881463498845864,0.16881463498845864,1.0,True,,,False
0,otsu_T1c,2,0.9230769230769231,14165.5,0.16881463498845864,0.16881463498845864,1.0,True,,,False
0,otsu_T1c,3,0.9230769230769231,14165.5,0.16881463498845864,0.16881463498845864,1.0,True,,,False
0,otsu_T1c,4,0.9230769230769231,14165.5,0.16881463498845864,0.16881463498845864,1.0,True,,,False
0,otsu_T1c,5,0.9230769230769231,14165.5,0.16881463498845864,0.16881463498845864,1.0,True,,,False
0,otsu_T1c,1,0.9230769230769231,14165.5,0.16881463498845864,0.16881463498845864,1.0,True,1.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct,True
0,gmm_T1c,0,0.0,0.0,0.0,0.17408278482408995,0.0,False,,,False
0,gmm_T1c,1,0.9615384615384616,19351.0,0.17408278482408995,0.17408278482408995,1.0,True,,,False
0,gmm_T1c,2,0.9615384615384616,19351.0,0.17408278482408995,0.17408278482408995,1.0,True,,,False
0,gmm_T1c,3,0.9615384615384616,19351.0,0.17408278482408995,0.17408278482408995,1.0,True,,,False
0,gmm_T1c,4,0.9615384615384616,19351.0,0.17408278482408995,0.17408278482408995,1.0,True,,,False
0,gmm_T1c,5,0.9615384615384616,19351.0,0.17408278482408995,0.17408278482408995,1.0,True,,,False
0,gmm_T1c,1,0.9615384615384616,19351.0,0.17408278482408995,0.17408278482408995,1.0,True,1.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct,True
0,sustraccion,0,0.0,0.0,0.0,0.009449864887366299,0.0,False,,,False
0,sustraccion,1,0.9230769230769231,63104.0,0.17662219528574497,0.009449864887366299,18.690446624467032,True,,,False
0,sustraccion,2,0.9230769230769231,64198.5,0.1127949591360188,0.009449864887366299,11.93614517037344,True,,,False
0,sustraccion,3,0.9230769230769231,64694.5,0.08623891150844946,0.009449864887366299,9.125941220995008,True,,,False
0,sustraccion,4,0.9230769230769231,64932.5,0.06943102021302491,0.009449864887366299,7.347302955182834,True,,,False
0,sustraccion,5,0.9230769230769231,65455.0,0.05827539374253576,0.009449864887366299,6.166796503137862,True,,,False
