metodo,changed_cases,mean_delta,median_delta,min_delta,max_delta
gmm_2d,63,-0.16818625296014394,-0.0709956741775387,-0.7547391764819623,-0.0003316148859084682
gmm_T1c,22,0.035942676090454276,0.00885704439133405,9.787391263671452e-06,0.19713518768548968
otsu_T1c,19,0.03967770185581204,0.007986851036548594,2.585747279220001e-05,0.1907188519835472
sustraccion,61,-0.22182422702708657,-0.1497760294005275,-0.7306151576340199,-0.0007421584468829364
variational_spline,22,0.039154887575767294,0.0091135771945119,3.380663110869999e-05,0.1974079012870789
