metodo,large_unifocal_cases,corrected_lesionwise_mean,corrected_lesionwise_median,dominant_match_dice_mean,global_dice_mean,tp,fn,fp
gmm_2d,2,0.00025122129954978964,0.00025122129954978964,0.0729988776506,0.0243928155033129,2,0,568
gmm_T1c,2,0.4307391345500946,0.4307391345500946,0.43073913108412865,0.43073913108412865,1,1,1
otsu_T1c,2,0.40834739804267883,0.40834739804267883,0.4083474127847608,0.4083474127847608,1,1,1
sustraccion,2,0.002676093368791,0.002676093368791,0.37548551932857327,0.35037249348323407,2,0,276
variational_spline,2,0.42665889859199524,0.42665889859199524,0.42665888572311284,0.42665888572311284,1,1,1
