metodo,unifocal_cases,corrected_lesionwise_mean,corrected_lesionwise_median,dominant_match_dice_mean,dominant_match_dice_median,global_dice_mean,global_dice_median,tp,fn,fp,dominant_found_rate,all_present_cases,all_present_corrected_lesionwise_mean,all_present_dominant_match_dice_mean,all_present_global_dice_mean,unifocal_minus_all_present_lesionwise
gmm_2d,17,0.0013356694456727642,0.0004068663693033,0.18454418451339502,0.07142857142857142,0.02245418435524441,0.0074652951163487,16,1,2826,0.9411764705882353,64,0.00326037417848819,0.22242539565412678,0.08371128353856704,-0.0019247047328154257
gmm_T1c,17,0.06869759476360153,0.0,0.06869759405019413,0.0,0.06869759405019413,0.0,3,14,14,0.17647058823529413,64,0.05146810190133519,0.09737627617841654,0.09660334361053924,0.01722949286226634
otsu_T1c,17,0.04895988271249841,0.0,0.04895988447505121,0.0,0.0489598844750512,0.0,4,13,13,0.23529411764705882,64,0.04481606963224747,0.08756487573589629,0.08712167385716188,0.004143813080250941
sustraccion,17,0.0008255205515096518,0.0002375066105742,0.12323084185356778,0.05011389521640091,0.0642361401461519,0.0080569216281259,15,2,2838,0.8823529411764706,64,0.005377699894594873,0.27889994605721985,0.12426321351603095,-0.004552179343085221
variational_spline,17,0.07080797193681493,0.0,0.07080797021100882,0.0,0.07080797021100882,0.0,3,14,14,0.17647058823529413,64,0.05405120144200734,0.10300969488433043,0.1022741048667373,0.016756770494807588
