metodo,present_n,present_lesionwise_dice_mean,present_lesionwise_dice_median,present_global_dice_mean,present_global_dice_median,present_overseg_ratio_median,present_overseg_ratio_p75,present_overseg_ratio_max,absent_n,absent_correct_rate_pred_lt_10,absent_fp_volume_median,absent_fp_volume_max,absent_flood_gt_10000_rate,rank_detection_lesionwise,rank_fp_median_low_is_better,rank_flood_low_is_better,rank_sum
sustraccion,67,0.20777574582016722,0.1415185928344726,0.11870042189375421,0.0385480707917754,22.802475780409043,142.2751663924901,42698.0,33,0.0,76915.0,135522,0.9393939393939394,1,4,1,6
otsu_T1c,67,0.03155749434631954,0.0,0.08322070338594569,0.0,9.430777422790202,163.67617554274264,4705.341666666666,33,0.0,13935.0,740909,0.9393939393939394,5,1,1,7
variational_spline,67,0.03877416963614313,0.0,0.09769466733539085,0.0,5.369414101290963,52.79949461166852,9643.333333333334,33,0.0,18837.0,278959,0.9696969696969697,3,2,3,8
gmm_T1c,67,0.03736148727903669,0.0,0.09227782076230613,0.0,5.369414101290963,118.21723199329983,69401.72222222222,33,0.0,18837.0,1420869,0.9696969696969697,4,2,3,9
gmm_2d,67,0.1612598427111776,0.0714285746216774,0.0799631898776709,0.0240274843693318,45.53723932472691,194.2588654399761,129584.875,33,0.0,94636.0,802975,1.0,2,5,5,12
