source_group,method,n_components,n_cases,volume_vox_median,volume_vox_q25,volume_vox_q75,compactness_v_over_s15_median,compactness_v_over_s15_q25,compactness_v_over_s15_q75,isoperimetric_quotient_median,isoperimetric_quotient_q25,isoperimetric_quotient_q75,radius_over_bbox_diag_median,radius_over_bbox_diag_q25,radius_over_bbox_diag_q75,radius_over_equiv_sphere_median,radius_over_equiv_sphere_q25,radius_over_equiv_sphere_q75,elongation_max_over_min_median,elongation_max_over_min_q25,elongation_max_over_min_q75,eroded_subcomponents_median,eroded_subcomponents_q25,eroded_subcomponents_q75,erosion_survival_frac_median,erosion_survival_frac_q25,erosion_survival_frac_q75
absent_fp,gmm_2d,33,33,72438.0,55253.0,106704.0,1.9634337799180862e-06,1.585622345799765e-06,2.3547969084754177e-06,4.3599839501155435e-10,2.84349120070129e-10,6.27132470433836e-10,0.0228481918495782,0.0215873990544379,0.0235696122555576,0.2047308504420778,0.1804786824932603,0.2306300725702868,1.3049645390070923,1.1732283464566928,1.4047619047619049,127.0,84.0,188.0,0.184291921349142,0.1410222425717521,0.2125901720204698
absent_fp,gmm_T1c,32,32,19351.0,15056.75,145598.75,3.621585788197817e-06,3.28559038602245e-06,3.997039046784318e-06,1.4834067622006123e-09,1.2209187941756701e-09,1.8077531478584334e-09,0.02326919714651625,0.0214626506445164,0.03385097485548572,0.26952379736610343,0.25753225649796874,0.2989645209562449,1.3253147482014387,1.161586979534227,1.448149861239593,14.5,8.0,22.0,0.15032016972524495,0.1188252442884127,0.26247481189648303
absent_fp,otsu_T1c,31,31,14396.0,13519.0,22287.0,3.7141882833923545e-06,3.249164105590397e-06,3.910471936461173e-06,1.560199752874956e-09,1.1942232207071998e-09,1.7294767585201918e-09,0.0235105052060334,0.0216987703824893,0.0260868681619855,0.2796132976514204,0.2508118653603974,0.30150433101302543,1.3650793650793651,1.2254503345342256,1.5254930254930255,17.0,12.0,29.0,0.1387183007008164,0.11922003054127406,0.1667768564818557
absent_fp,sustraccion,31,31,67870.0,45478.5,79195.5,1.5694950808590093e-06,1.3573666856753661e-06,1.8878332945304436e-06,2.7859434144957577e-10,2.0843881958933333e-10,4.0338171428252597e-10,0.0227074885324107,0.0219796705145263,0.0236838705140456,0.2235520083605676,0.21234641963522138,0.2572996272822236,1.3507462686567164,1.291777831675964,1.4291147540983604,140.0,79.5,166.5,0.1081935725662887,0.0802783012909686,0.12561147611248646
absent_fp,variational_spline,32,32,19352.5,15057.75,28332.0,3.3242361577187876e-06,2.7421468722957074e-06,3.7190546256392195e-06,1.2498567949474062e-09,8.508777730656945e-10,1.5643038314088544e-09,0.02233827069064035,0.021352183258603,0.023318614557733302,0.26308829109108284,0.2348005461068412,0.28915114674953635,1.3434833528526016,1.1640796703296703,1.454072963518241,20.0,14.0,42.75,0.13208645650361125,0.09792927893089198,0.1545908841948365
peri_cavity_seed_fp,gmm_T1c,2,2,14360.5,13790.25,14930.75,3.953634459201726e-06,3.8943048417694915e-06,4.01296407663396e-06,1.7694423600497502e-09,1.716384414418414e-09,1.8225003056810861e-09,0.022720979078157448,0.021242124737165476,0.024199833419149424,0.29629393238684265,0.2774492790738351,0.3151385856998502,1.201625094482237,1.1748866213151925,1.228363567649282,20.0,17.5,22.5,0.13209835859498986,0.1281520537301727,0.13604466345980704
peri_cavity_seed_fp,variational_spline,2,2,14360.5,13790.25,14930.75,3.953634459201726e-06,3.8943048417694915e-06,4.01296407663396e-06,1.7694423600497502e-09,1.716384414418414e-09,1.8225003056810861e-09,0.022720979078157448,0.021242124737165476,0.024199833419149424,0.29629393238684265,0.2774492790738351,0.3151385856998502,1.201625094482237,1.1748866213151925,1.228363567649282,20.0,17.5,22.5,0.13209835859498986,0.1281520537301727,0.13604466345980704
true_et_gt,GT_ET,180,64,180.5,40.75,1387.75,2.371399926230877e-05,1.4074454113297876e-05,2.8925828068578955e-05,6.360110144396738e-08,2.240383419481294e-08,9.46289410527024e-08,0.13115086844170515,0.08533282020220385,0.1879805513213037,0.6246548971941974,0.4565557090952491,0.7695203069187393,1.5,1.2857142857142858,2.0,1.0,0.0,2.0,0.01615804130888835,0.0,0.16373485452066372
