prior_stage,method,construction_type,mode,threshold,absent_flood_rate,absent_median_fp_vox,large_lesionwise,large_detection_ratio,keeps_large_detection_90pct,source
P1_spatial,otsu_T1c,intensity/statistical,post_filter,0.02,0.0,0.0,0.0259943876196356,0.14749590546255337,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,otsu_T1c,intensity/statistical,post_filter,0.05,0.0,0.0,0.0,0.0,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,otsu_T1c,intensity/statistical,post_filter,0.1,0.0,0.0,0.0,0.0,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,otsu_T1c,intensity/statistical,post_filter,0.2,0.0,0.0,0.0,0.0,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,sustraccion,intensity/statistical,post_filter,0.0,0.9393939393939394,76915.0,0.0086725241888095,0.04920915339848599,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,sustraccion,intensity/statistical,post_filter,0.001,0.8484848484848485,70986.0,0.0223100503687472,0.12659044437607223,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,sustraccion,intensity/statistical,post_filter,0.002,0.7878787878787878,67492.0,0.0245459263973958,0.1392771275237234,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,sustraccion,intensity/statistical,post_filter,0.005,0.3333333333333333,2915.0,0.0230950275628642,0.13104451822108495,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,sustraccion,intensity/statistical,post_filter,0.01,0.0303030303030303,1410.0,0.0243021930308553,0.1378941492395121,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,sustraccion,intensity/statistical,post_filter,0.02,0.0,310.0,0.044669117032968,0.2534590142840511,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,sustraccion,intensity/statistical,post_filter,0.05,0.0,0.0,0.0,0.0,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,sustraccion,intensity/statistical,post_filter,0.1,0.0,0.0,0.0,0.0,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,sustraccion,intensity/statistical,post_filter,0.2,0.0,0.0,0.0,0.0,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,variational_spline,deformable/region-based,post_filter,0.0,0.9696969696969696,18837.0,0.1762380286972449,1.0,True,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,variational_spline,deformable/region-based,post_filter,0.001,0.8181818181818182,18518.0,0.1625716320653309,0.9224548939128729,True,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,variational_spline,deformable/region-based,post_filter,0.002,0.7272727272727273,16574.0,0.142557144858395,0.8088898060888465,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,variational_spline,deformable/region-based,post_filter,0.005,0.303030303030303,0.0,0.123365906669813,0.6999959519618796,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,variational_spline,deformable/region-based,post_filter,0.01,0.0303030303030303,0.0,0.0437948090188643,0.24849806447902548,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,variational_spline,deformable/region-based,post_filter,0.02,0.0,0.0,0.0329088612514383,0.18672962637349766,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,variational_spline,deformable/region-based,post_filter,0.05,0.0,0.0,0.0,0.0,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,variational_spline,deformable/region-based,post_filter,0.1,0.0,0.0,0.0,0.0,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,variational_spline,deformable/region-based,post_filter,0.2,0.0,0.0,0.0,0.0,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,gmm_2d,intensity/statistical,pre_filter,0.0,1.0,94636.0,0.0042083640030742,0.02387886447767552,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,gmm_2d,intensity/statistical,pre_filter,0.001,1.0,34069.0,0.0073187272072947,0.04152751401836982,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,gmm_2d,intensity/statistical,pre_filter,0.002,1.0,29766.0,0.0078464235078118,0.04452173895618739,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,gmm_2d,intensity/statistical,pre_filter,0.005,0.9696969696969696,22955.0,0.0084488609461593,0.047940055892666596,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,gmm_2d,intensity/statistical,pre_filter,0.01,0.7575757575757576,15866.0,0.0093533621060059,0.05307232596248462,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,gmm_2d,intensity/statistical,pre_filter,0.02,0.0909090909090909,5013.0,0.0118596939137205,0.06729361421815484,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,gmm_2d,intensity/statistical,pre_filter,0.05,0.0,129.0,0.0071877855590334,0.0407845322156952,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,gmm_2d,intensity/statistical,pre_filter,0.1,0.0,0.0,0.0,0.0,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,gmm_2d,intensity/statistical,pre_filter,0.2,0.0,0.0,0.0,0.0,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,gmm_T1c,intensity/statistical,pre_filter,0.0,0.9696969696969696,18837.0,0.1706676623760037,0.968392937878292,True,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,gmm_T1c,intensity/statistical,pre_filter,0.001,0.303030303030303,7272.0,0.0473174068337196,0.2684857926719383,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,gmm_T1c,intensity/statistical,pre_filter,0.002,0.2727272727272727,6801.0,0.0406740695813342,0.23079053869359387,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,gmm_T1c,intensity/statistical,pre_filter,0.005,0.2424242424242424,4975.0,0.0455544711063232,0.2584826410228416,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,gmm_T1c,intensity/statistical,pre_filter,0.01,0.2424242424242424,2834.0,0.0380953402936403,0.2161584566920195,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,gmm_T1c,intensity/statistical,pre_filter,0.02,0.2424242424242424,776.0,0.0325298343189334,0.1845789728777302,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,gmm_T1c,intensity/statistical,pre_filter,0.05,0.0909090909090909,0.0,0.0012045841910602,0.00683498448073047,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,gmm_T1c,intensity/statistical,pre_filter,0.1,0.0,0.0,0.0,0.0,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,gmm_T1c,intensity/statistical,pre_filter,0.2,0.0,0.0,0.0,0.0,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,otsu_T1c,intensity/statistical,pre_filter,0.0,0.9393939393939394,13935.0,0.1650376673385514,0.9364475338184002,True,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,otsu_T1c,intensity/statistical,pre_filter,0.001,0.2121212121212121,5770.0,0.0553057442337055,0.3138127715256843,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,otsu_T1c,intensity/statistical,pre_filter,0.002,0.2121212121212121,5067.0,0.0559420192833332,0.3174230879501873,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,otsu_T1c,intensity/statistical,pre_filter,0.005,0.2121212121212121,3920.0,0.0550015787320102,0.3120868925882966,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,otsu_T1c,intensity/statistical,pre_filter,0.01,0.2121212121212121,2362.0,0.0451955000650795,0.25644578754747516,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,otsu_T1c,intensity/statistical,pre_filter,0.02,0.2121212121212121,736.0,0.0422490356928285,0.23972712362441997,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,otsu_T1c,intensity/statistical,pre_filter,0.05,0.0606060606060606,0.0,0.00100147003575,0.005682485461014781,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,otsu_T1c,intensity/statistical,pre_filter,0.1,0.0,0.0,0.0,0.0,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,otsu_T1c,intensity/statistical,pre_filter,0.2,0.0,0.0,0.0,0.0,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,sustraccion,intensity/statistical,pre_filter,0.0,0.9393939393939394,76915.0,0.0086725241888095,0.04920915339848599,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
