case_id,entrada,estrategia,et_presente,dice,jaccard,sensibilidad,especificidad,pred_voxeles
BraTS-GLI-02063-106,E1_crudo,Otsu_anclado,True,0.1941747572815534,0.10752688172043011,0.3543307086614173,0.9999192607777168,673
BraTS-GLI-02063-106,E1_crudo,union_post,True,0.2015005359056806,0.11203814064362336,0.3700787401574803,0.9999189837992527,679
BraTS-GLI-02063-106,E2_n4,Otsu_anclado,True,0.1882145998240985,0.10388349514563107,0.421259842519685,0.9998925323559318,883
BraTS-GLI-02063-106,E2_n4,union_post,True,0.18947368421052632,0.10465116279069768,0.4251968503937008,0.9998922553774676,886
BraTS-GLI-02063-106,E3_n4norm,Otsu_anclado,True,0.17391304347826086,0.09523809523809523,0.49606299212598426,0.999851955010942,1195
BraTS-GLI-02063-106,E3_n4norm,union_post,True,0.1775636613902271,0.09743202416918428,0.5078740157480315,0.99985181652171,1199
BraTS-GLI-02063-106,E4_completo,Otsu_anclado,True,0.18104667609618105,0.09953343701399689,0.5039370078740157,0.9998570791125277,1160
BraTS-GLI-02063-106,E4_completo,union_post,True,0.1834862385321101,0.10101010101010101,0.5118110236220472,0.9998569406232957,1163
BraTS-GLI-00529-100,E1_crudo,Otsu_anclado,True,0.282793867120954,0.16468253968253968,0.1656686626746507,0.9999995845180916,86
BraTS-GLI-00529-100,E1_crudo,union_post,True,0.3024390243902439,0.1781609195402299,0.18562874251497005,0.9999970916266407,114
BraTS-GLI-00529-100,E2_n4,Otsu_anclado,True,0.29194630872483224,0.17092337917485265,0.17365269461077845,0.9999988920482441,95
BraTS-GLI-00529-100,E2_n4,union_post,True,0.3096774193548387,0.183206106870229,0.19161676646706588,0.9999968146387018,119
BraTS-GLI-00529-100,E3_n4norm,Otsu_anclado,True,0.0008003162383192711,0.0004003183097815429,0.9860279441117764,0.8291653342392685,1234011
BraTS-GLI-00529-100,E3_n4norm,union_post,True,0.0008003117003464507,0.00040031603897814066,0.9860279441117764,0.8291643647814821,1234018
BraTS-GLI-00529-100,E4_completo,Otsu_anclado,True,0.3218390804597701,0.1917808219178082,0.19560878243512975,0.9999986150603051,108
BraTS-GLI-00529-100,E4_completo,union_post,True,0.43823529411764706,0.2806026365348399,0.29740518962075846,0.9999958451809153,179
BraTS-GLI-02062-100,E1_crudo,Otsu_anclado,True,0.14443500424808836,0.07783882783882784,0.0800376647834275,0.9999958448580811,115
BraTS-GLI-02062-100,E1_crudo,union_post,True,0.2260327357755261,0.1274165202108963,0.13653483992467044,0.9999894736404722,221
BraTS-GLI-02062-100,E2_n4,Otsu_anclado,True,0.2733612273361227,0.1583198707592892,0.18455743879472694,0.9999756231674093,372
BraTS-GLI-02062-100,E2_n4,union_post,True,0.29986431478968795,0.17637669592976857,0.2080979284369115,0.9999735455964498,412
BraTS-GLI-02062-100,E3_n4norm,Otsu_anclado,True,0.44046953605366124,0.2824372759856631,0.3709981167608286,0.9999538779247005,727
BraTS-GLI-02062-100,E3_n4norm,union_post,True,0.4582417582417582,0.2972202423378475,0.3926553672316384,0.9999527698868554,758
BraTS-GLI-02062-100,E4_completo,Otsu_anclado,True,0.41251448435689453,0.25985401459854013,0.3352165725047081,0.9999573405429663,664
BraTS-GLI-02062-100,E4_completo,union_post,True,0.42914058053500287,0.27318840579710146,0.3549905838041431,0.99995595549566,695
BraTS-GLI-02063-102,E1_crudo,Otsu_anclado,True,0.5966773418734987,0.42518898873199257,0.6194929343308395,0.999695269822705,5180
BraTS-GLI-02063-102,E1_crudo,union_post,True,0.599203187250996,0.42775881683731515,0.6251039068994181,0.9996923597118713,5228
BraTS-GLI-02063-102,E2_n4,Otsu_anclado,True,0.6224018475750578,0.451802179379715,0.672069825436409,0.9996748990468695,5580
BraTS-GLI-02063-102,E2_n4,union_post,True,0.6223287014853858,0.45172509738452976,0.6747714048212802,0.9996707417456785,5623
BraTS-GLI-02063-102,E3_n4norm,Otsu_anclado,True,0.6217526844475234,0.4511183714501131,0.7460515378221114,0.999564037681778,6736
BraTS-GLI-02063-102,E3_n4norm,union_post,True,0.6220261268275803,0.4514063284781517,0.7470906068162926,0.9995632062215398,6747
BraTS-GLI-02063-102,E4_completo,Otsu_anclado,True,0.6378531573819857,0.4682704811443433,0.74833748960931,0.9996011762390836,6479
BraTS-GLI-02063-102,E4_completo,union_post,True,0.6379814077025232,0.46840873634945396,0.7487531172069826,0.9996008990856708,6483
BraTS-GLI-00498-100,E1_crudo,Otsu_anclado,True,0.14872087592755953,0.08033411817468326,0.5950996677740864,0.9957235204711167,33726
BraTS-GLI-00498-100,E1_crudo,union_post,True,0.14872087592755953,0.08033411817468326,0.5950996677740864,0.9957235204711167,33726
BraTS-GLI-00498-100,E2_n4,Otsu_anclado,True,0.1567188443494821,0.08502167120249975,0.7005813953488372,0.995168104724138,38242
BraTS-GLI-00498-100,E2_n4,union_post,True,0.1567188443494821,0.08502167120249975,0.7005813953488372,0.995168104724138,38242
BraTS-GLI-00498-100,E3_n4norm,Otsu_anclado,True,0.15423560622936877,0.0835619143753703,0.7906976744186046,0.9943523032015671,44563
BraTS-GLI-00498-100,E3_n4norm,union_post,True,0.15482831537609507,0.08390997795289341,0.7981727574750831,0.9943190447736043,44839
BraTS-GLI-00498-100,E4_completo,Otsu_anclado,True,0.15261963827576702,0.08261408502433201,0.7473006644518272,0.994630426805406,42347
BraTS-GLI-00498-100,E4_completo,union_post,True,0.1530121498481269,0.08284415614079167,0.7531146179401993,0.9946003556434564,42592
BraTS-GLI-00463-101,E1_crudo,Otsu_anclado,True,0.23155117748142412,0.13093462164862388,0.8457390381895332,0.9914344801185067,71322
BraTS-GLI-00463-101,E1_crudo,union_post,True,0.23155117748142412,0.13093462164862388,0.8457390381895332,0.9914344801185067,71322
BraTS-GLI-00463-101,E2_n4,Otsu_anclado,True,0.2345573240337392,0.13286034558180226,0.8591760961810466,0.9914226904789645,71559
BraTS-GLI-00463-101,E2_n4,union_post,True,0.2345573240337392,0.13286034558180226,0.8591760961810466,0.9914226904789645,71559
BraTS-GLI-00463-101,E3_n4norm,Otsu_anclado,True,0.2264064870043224,0.12765410188150264,0.8774752475247525,0.990783969419062,76371
BraTS-GLI-00463-101,E3_n4norm,union_post,True,0.22742848035700056,0.12830426182341306,0.8830445544554455,0.9907705153598197,76531
BraTS-GLI-00463-101,E4_completo,Otsu_anclado,True,0.23528693975668388,0.133328723551376,0.8522807637906648,0.9915394772612529,70639
BraTS-GLI-00463-101,E4_completo,union_post,True,0.2362640038967365,0.1339565583617559,0.85758486562942,0.9915243587823106,70808
BraTS-GLI-02060-100,E1_crudo,Otsu_anclado,True,0.04064062021830052,0.020741789708240487,0.8975219023779725,0.882744019384932,862295
BraTS-GLI-02060-100,E1_crudo,union_post,True,0.04064284103183716,0.02074294665768874,0.8975719649561953,0.882744019384932,862296
BraTS-GLI-02060-100,E2_n4,Otsu_anclado,True,0.42559940867583423,0.2703247261345853,0.6918147684605758,0.9956749404983185,44964
BraTS-GLI-02060-100,E2_n4,union_post,True,0.4256478957823255,0.27036384976525824,0.6919148936170213,0.9956749404983185,44966
BraTS-GLI-02060-100,E3_n4norm,Otsu_anclado,True,0.4010279280994208,0.2508035850949846,0.7382728410513142,0.9946085692697614,53571
BraTS-GLI-02060-100,E3_n4norm,union_post,True,0.40169500733416635,0.2513256288239293,0.740325406758448,0.9946028756611703,53653
BraTS-GLI-02060-100,E4_completo,Otsu_anclado,True,0.41341593676564836,0.2605698281897991,0.7266082603254067,0.9950387838896428,50240
BraTS-GLI-02060-100,E4_completo,union_post,True,0.41406783519235146,0.26108798622075496,0.7285106382978723,0.9950339234920651,50313
BraTS-GLI-00046-101,E1_crudo,Otsu_anclado,True,0.4744246784605529,0.3109808291745401,0.7608867462261915,0.994912118665997,55866
BraTS-GLI-00046-101,E1_crudo,union_post,True,0.47434286699677286,0.3109105294602057,0.7608867462261915,0.9949101730666231,55880
BraTS-GLI-00046-101,E2_n4,Otsu_anclado,True,0.4712682191321829,0.3082739726027397,0.7781158618509444,0.9946400126964257,58260
BraTS-GLI-00046-101,E2_n4,union_post,True,0.47128651261861737,0.30828962818003913,0.7781553781711847,0.9946400126964257,58261
BraTS-GLI-00046-101,E3_n4norm,Otsu_anclado,True,0.46627328473909524,0.3040132770066385,0.7962538528412234,0.9943057865182748,61124
BraTS-GLI-00046-101,E3_n4norm,union_post,True,0.4662248898449155,0.3039721317408614,0.7965304670829052,0.9943013394339918,61163
BraTS-GLI-00046-101,E4_completo,Otsu_anclado,True,0.4681986726813254,0.3056523482068519,0.7833715324428989,0.9945034038261046,59376
BraTS-GLI-00046-101,E4_completo,union_post,True,0.4681755392625651,0.3056326304106548,0.7834900814036196,0.9945014582267308,59393
BraTS-GLI-00005-100,E1_crudo,Otsu_anclado,False,,,,0.9971333737338375,20700
BraTS-GLI-00005-100,E1_crudo,union_post,False,,,,0.9971141244077024,20839
BraTS-GLI-00005-100,E2_n4,Otsu_anclado,False,,,,0.9970656548814629,21189
BraTS-GLI-00005-100,E2_n4,union_post,False,,,,0.9970455746491638,21334
BraTS-GLI-00005-100,E3_n4norm,Otsu_anclado,False,,,,0.9961837864726261,27557
BraTS-GLI-00005-100,E3_n4norm,union_post,False,,,,0.9961232688070071,27994
BraTS-GLI-00005-100,E4_completo,Otsu_anclado,False,,,,0.9963262868797701,26528
BraTS-GLI-00005-100,E4_completo,union_post,False,,,,0.9962672925421187,26954
