metodo,base,mas_morfologia,mas_sustraccion,mas_sustraccion_morfologia
Otsu,0.16437976653213604,0.352846823221782,0.11656922071927334,0.32643872238143656
RegionGrowing,0.32019189767717565,0.3418108358802717,0.2425179391473501,0.2664741475709886
Watershed,0.21266574364389823,0.22267311100233994,0.18679870448845387,0.19731032620195815
GMM_multimodal,0.09388449442473952,0.0800327710313938,,
