case_id,estrategia,et_presente,dice,jaccard,sensibilidad,especificidad,pred_voxeles
BraTS-GLI-02063-106,RG_histeresis,True,0.17106773823191734,0.09353421217827998,0.5866141732283464,0.9998145629182894,1488
BraTS-GLI-02063-106,Otsu_2clases,True,0.00034036007147561503,0.00017020900191183576,1.0,0.7933700495985335,1492283
BraTS-GLI-02063-106,ensamble_hist,True,0.16195652173913044,0.08811354228267297,0.5866141732283464,0.9998009909735488,1586
BraTS-GLI-00529-100,RG_histeresis,True,0.0009957498482088647,0.0004981229270189165,0.9820359281437125,0.8632777838638184,987699
BraTS-GLI-00529-100,Otsu_2clases,True,0.0006926313562924729,0.00034643565424477026,1.0,0.7997855005400573,1446156
BraTS-GLI-00529-100,ensamble_hist,True,0.0009957448100343551,0.0004981204054214129,0.9820359281437125,0.8632770913939709,987704
BraTS-GLI-02062-100,RG_histeresis,True,0.030193780982424517,0.01532830016014642,0.4416195856873823,0.9959092627808703,30004
BraTS-GLI-02062-100,Otsu_2clases,True,0.0017001167029262179,0.0008507815654380804,1.0,0.8272566229499568,1248264
BraTS-GLI-02062-100,ensamble_hist,True,0.03188172906958059,0.016199092067017213,0.4670433145009416,0.9959062156767965,30053
BraTS-GLI-02063-102,RG_histeresis,True,0.18858512251185994,0.10410929315837789,0.801330008312552,0.9955342270607049,36082
BraTS-GLI-02063-102,Otsu_2clases,True,0.006448262808250614,0.003234560050763503,1.0,0.7945086208569029,1487683
BraTS-GLI-02063-102,ensamble_hist,True,0.19244102887342723,0.10646459227467811,0.8248129675810474,0.9955006914977648,36437
BraTS-GLI-00498-100,RG_histeresis,True,0.12046520593715865,0.0640930970353353,0.9732142857142857,0.9905335427875219,72999
BraTS-GLI-00498-100,Otsu_2clases,True,0.006904382333038961,0.0034641500748072277,1.0,0.8080123987419445,1390240
BraTS-GLI-00498-100,ensamble_hist,True,0.12017178386000897,0.06392700291879211,0.9732142857142857,0.990507213198718,73189
BraTS-GLI-00463-101,RG_histeresis,True,0.2530299867807695,0.14483934175521324,0.8037482319660537,0.9928622748178847,60553
BraTS-GLI-00463-101,Otsu_2clases,True,0.22025059112103065,0.12375370938303182,0.8810997171145686,0.9903981014519287,79194
BraTS-GLI-00463-101,ensamble_hist,True,0.2362640038967365,0.1339565583617559,0.85758486562942,0.9915243587823106,70808
BraTS-GLI-02060-100,RG_histeresis,True,0.41511053279993354,0.2619176550736283,0.7506382978723404,0.9948240931852088,52266
BraTS-GLI-02060-100,Otsu_2clases,True,0.0280469264431275,0.014222917786039601,0.9872841051314143,0.8102236935494331,1386311
BraTS-GLI-02060-100,ensamble_hist,True,0.4075315617312319,0.2559118610691429,0.7546933667083855,0.9945935714715215,54007
BraTS-GLI-00046-101,RG_histeresis,True,0.4897047177282498,0.32424435372111315,0.6841855686398483,0.9960960158849851,45406
BraTS-GLI-00046-101,Otsu_2clases,True,0.4110925714508748,0.2587265715198113,0.8324112858610606,0.992202037709607,77177
BraTS-GLI-00046-101,ensamble_hist,True,0.4681755392625651,0.3056326304106548,0.7834900814036196,0.9945014582267308,59393
BraTS-GLI-00005-100,RG_histeresis,False,,,,0.9955761170979439,31945
BraTS-GLI-00005-100,Otsu_2clases,False,,,,0.8399447613582103,1155764
BraTS-GLI-00005-100,ensamble_hist,False,,,,0.9941170458737754,42481
