case_id,metodo,variante,multimodal,et_presente,dice,jaccard,sensibilidad,especificidad,pred_voxeles
BraTS-GLI-02063-106,Otsu,base,False,True,0.007249879168680522,0.003638127577007034,0.41338582677165353,0.9960382385388389,28712
BraTS-GLI-02063-106,Otsu,morf,False,True,0.0,0.0,0.0,0.9994078200437682,4276
BraTS-GLI-02063-106,Otsu,sub,False,True,0.008102757699921736,0.004067859289049138,0.3464566929133858,0.9970392387080728,21467
BraTS-GLI-02063-106,Otsu,sub_morf,False,True,0.0,0.0,0.0,0.9995960269101196,2917
BraTS-GLI-02063-106,RegionGrowing,base,False,True,0.25732899022801303,0.14766355140186915,0.3110236220472441,0.9999610845257949,360
BraTS-GLI-02063-106,RegionGrowing,morf,False,True,0.0,0.0,0.0,0.9999973687045911,19
BraTS-GLI-02063-106,RegionGrowing,sub,False,True,0.3492723492723493,0.21158690176322417,0.33070866141732286,0.9999801960398174,227
BraTS-GLI-02063-106,RegionGrowing,sub_morf,False,True,0.0,0.0,0.0,1.0,0
BraTS-GLI-02063-106,Watershed,base,False,True,0.34415584415584416,0.20784313725490197,0.20866141732283464,0.9999998615107679,54
BraTS-GLI-02063-106,Watershed,morf,False,True,0.1391941391941392,0.07480314960629922,0.07480314960629922,1.0,19
BraTS-GLI-02063-106,Watershed,sub,False,True,0.40625,0.2549019607843137,0.2559055118110236,0.9999998615107679,66
BraTS-GLI-02063-106,Watershed,sub_morf,False,True,0.2112676056338028,0.11811023622047244,0.11811023622047244,1.0,30
BraTS-GLI-02063-106,GMM_multimodal,base,True,True,0.0032510442212688967,0.001628168734912893,0.905511811023622,0.9804717718783211,141239
BraTS-GLI-02063-106,GMM_multimodal,morf,True,True,0.0,0.0,0.0,0.9978633881279829,15428
BraTS-GLI-00529-100,Otsu,base,False,True,0.009103322712790168,0.004572473708276178,0.3193612774451098,0.995223204498395,34651
BraTS-GLI-00529-100,Otsu,morf,False,True,0.0,0.0,0.0,0.9988744595099723,8127
BraTS-GLI-00529-100,Otsu,sub,False,True,0.005315391084945332,0.002664777710315051,0.15768463073852296,0.995963593259277,29224
BraTS-GLI-00529-100,Otsu,sub_morf,False,True,0.0,0.0,0.0,0.9990707054647366,6710
BraTS-GLI-00529-100,RegionGrowing,base,False,True,0.4074074074074074,0.2558139534883721,0.2634730538922156,0.9999979225904577,147
BraTS-GLI-00529-100,RegionGrowing,morf,False,True,0.15412844036697249,0.08349900596421471,0.08383233532934131,0.999999723012061,44
BraTS-GLI-00529-100,RegionGrowing,sub,False,True,0.1824561403508772,0.10038610038610038,0.10379241516966067,0.9999976456025187,69
BraTS-GLI-00529-100,RegionGrowing,sub_morf,False,True,0.05384615384615385,0.02766798418972332,0.027944111776447105,0.9999993075301525,19
BraTS-GLI-00529-100,Watershed,base,False,True,0.15492957746478872,0.08396946564885496,0.08782435129740519,0.9999968146387018,67
BraTS-GLI-00529-100,Watershed,morf,False,True,0.06153846153846154,0.031746031746031744,0.031936127744510975,0.9999995845180916,19
BraTS-GLI-00529-100,Watershed,sub,False,True,0.27899159663865547,0.162109375,0.1656686626746507,0.9999984765663357,94
BraTS-GLI-00529-100,Watershed,sub_morf,False,True,0.07307692307692308,0.03792415169660679,0.03792415169660679,1.0,19
BraTS-GLI-00529-100,GMM_multimodal,base,True,True,6.058822511122267e-05,3.0295030316669623e-05,0.05588822355289421,0.8720671651433946,923771
BraTS-GLI-00529-100,GMM_multimodal,morf,True,True,0.0001494229472555674,7.471705584913132e-05,0.1596806387225549,0.8517830613842666,1070285
BraTS-GLI-02062-100,Otsu,base,False,True,0.022717167225837748,0.01148908332651893,0.2645951035781544,0.9967595433222022,23677
BraTS-GLI-02062-100,Otsu,morf,False,True,0.0,0.0,0.0,0.9992691105364704,5277
BraTS-GLI-02062-100,Otsu,sub,False,True,0.015012414111669266,0.007562976322066438,0.1224105461393597,0.997766334209145,16257
BraTS-GLI-02062-100,Otsu,sub_morf,False,True,0.0,0.0,0.0,0.9996167574103494,2767
BraTS-GLI-02062-100,RegionGrowing,base,False,True,0.2171344165435746,0.12178956089478045,0.1384180790960452,0.9999799168140587,292
BraTS-GLI-02062-100,RegionGrowing,morf,False,True,0.0,0.0,0.0,1.0,0
BraTS-GLI-02062-100,RegionGrowing,sub,False,True,0.17052980132450332,0.09321266968325792,0.09698681732580038,0.9999940442965829,146
BraTS-GLI-02062-100,RegionGrowing,sub_morf,False,True,0.0,0.0,0.0,1.0,0
BraTS-GLI-02062-100,Watershed,base,False,True,0.08812949640287769,0.04609595484477893,0.046139359698681735,0.9999998614952693,50
BraTS-GLI-02062-100,Watershed,morf,False,True,0.03515263644773358,0.017890772128060263,0.017890772128060263,1.0,19
BraTS-GLI-02062-100,Watershed,sub,False,True,0.05474452554744526,0.028142589118198873,0.02824858757062147,0.9999994459810775,34
BraTS-GLI-02062-100,Watershed,sub_morf,False,True,0.03330249768732655,0.016933207902163686,0.01694915254237288,0.9999998614952693,19
BraTS-GLI-02062-100,GMM_multimodal,base,True,True,0.02615476904619076,0.01325066861171894,0.7184557438794726,0.9921717126248447,57283
BraTS-GLI-02062-100,GMM_multimodal,morf,True,True,0.0,0.0,0.0,0.998710243948382,9312
BraTS-GLI-02063-102,Otsu,base,False,True,0.16983087995734977,0.09279518384256862,0.5958021612635079,0.9963853651911942,28951
BraTS-GLI-02063-102,Otsu,morf,False,True,0.0,0.0,0.0,0.9994455545978366,4001
BraTS-GLI-02063-102,Otsu,sub,False,True,0.14289402825421416,0.07694446651306903,0.40253532834580213,0.9971783011050107,22299
BraTS-GLI-02063-102,Otsu,sub_morf,False,True,0.0,0.0,0.0,0.9996202998245619,2740
BraTS-GLI-02063-102,RegionGrowing,base,False,True,0.2831669044222539,0.16493560448691316,0.16500415627597673,0.9999997228465872,796
BraTS-GLI-02063-102,RegionGrowing,morf,False,True,0.2645998558038933,0.152471956792688,0.15253532834580216,0.9999997228465872,736
BraTS-GLI-02063-102,RegionGrowing,sub,False,True,0.09957519116397621,0.052396280400572245,0.06088944305901912,0.9998919101690359,1073
BraTS-GLI-02063-102,RegionGrowing,sub_morf,False,True,0.06795151996820982,0.035170711641299875,0.035536159600997506,0.9999930711646818,221
BraTS-GLI-02063-102,Watershed,base,False,True,0.2553885165730846,0.14638704318936877,0.14650872817955113,0.9999994456931746,709
BraTS-GLI-02063-102,Watershed,morf,False,True,0.2311225427154143,0.13066057332779393,0.13071487946799668,0.9999997228465872,631
BraTS-GLI-02063-102,Watershed,sub,False,True,0.006407689227072487,0.0032141422257934912,0.0033250207813798837,0.9999769962667435,182
BraTS-GLI-02063-102,Watershed,sub_morf,False,True,0.006127450980392157,0.003073140749846343,0.003117206982543641,0.9999904382072609,84
BraTS-GLI-02063-102,GMM_multimodal,base,True,True,0.00012202963442737594,6.101854024876789e-05,0.008104738154613466,0.9120955292382993,634377
BraTS-GLI-02063-102,GMM_multimodal,morf,True,True,2.734672502457787e-06,1.3673381208398738e-06,0.00020781379883624273,0.899319034064926,726537
BraTS-GLI-00498-100,Otsu,base,False,True,0.13608708827711602,0.07301150575287643,0.6061046511627907,0.9951270859963172,38083
BraTS-GLI-00498-100,Otsu,morf,False,True,0.0,0.0,0.0,0.9983664568798939,11788
BraTS-GLI-00498-100,Otsu,sub,False,True,0.06500178380306815,0.03359268409602124,0.18916112956810632,0.9969093220047737,23214
BraTS-GLI-00498-100,Otsu,sub_morf,False,True,0.0,0.0,0.0,0.9987867602632737,8755
BraTS-GLI-00498-100,RegionGrowing,base,False,True,0.15654260452257374,0.08491794001131862,0.6231312292358804,0.9957700822702646,33525
BraTS-GLI-00498-100,RegionGrowing,morf,False,True,0.0,0.0,0.0,0.9982583669890147,12568
BraTS-GLI-00498-100,RegionGrowing,sub,False,True,0.1801699716713881,0.09900373599003735,0.09904485049833887,0.9999997228464337,479
BraTS-GLI-00498-100,RegionGrowing,sub_morf,False,True,0.09416419386745796,0.049408345443221924,0.04941860465116279,0.9999998614232168,239
BraTS-GLI-00498-100,Watershed,base,False,True,0.09589581689029203,0.05036269430051814,0.05045681063122923,0.9999987528089513,252
BraTS-GLI-00498-100,Watershed,morf,False,True,0.05414141414141414,0.02782392026578073,0.02782392026578073,1.0,134
BraTS-GLI-00498-100,Watershed,sub,False,True,0.0983024082116068,0.051691924434295204,0.05170265780730897,0.9999998614232168,250
BraTS-GLI-00498-100,Watershed,sub_morf,False,True,0.07167167167167167,0.03716777408637874,0.03716777408637874,1.0,179
BraTS-GLI-00498-100,GMM_multimodal,base,True,True,0.09376768447211081,0.04919006131010003,0.7913205980066446,0.9899311495110457,76470
BraTS-GLI-00498-100,GMM_multimodal,morf,True,True,0.0,0.0,0.0,0.9980840373957764,13826
BraTS-GLI-00463-101,Otsu,base,False,True,0.20688362628683116,0.11537657528519381,0.6830799151343706,0.9922798666245014,63387
BraTS-GLI-00463-101,Otsu,morf,False,True,0.0,0.0,0.0,0.9983147750536775,12150
BraTS-GLI-00463-101,Otsu,sub,False,True,0.18914439610524136,0.10445029172863517,0.40355374823196605,0.9955070377212984,36958
BraTS-GLI-00463-101,Otsu,sub_morf,False,True,0.0,0.0,0.0,0.999023401740983,7041
BraTS-GLI-00463-101,RegionGrowing,base,False,True,0.279857520395266,0.16269438358360497,0.5382779349363508,0.996377945329361,32203
BraTS-GLI-00463-101,RegionGrowing,morf,False,True,0.0,0.0,0.0,0.9986170059308822,9971
