case_id,estrategia,et_presente,dice,jaccard,sensibilidad,especificidad,pred_voxeles
BraTS-GLI-02063-106,union,True,0.1834862385321101,0.10101010101010101,0.5118110236220472,0.9998569406232957,1163
BraTS-GLI-02063-106,voto_mayoria,True,0.2568306010928962,0.14733542319749215,0.3700787401574803,0.999946820134894,478
BraTS-GLI-02063-106,interseccion,True,0.3223684210526316,0.19215686274509805,0.19291338582677164,0.9999998615107679,50
BraTS-GLI-02063-106,union_post,True,0.1834862385321101,0.10101010101010101,0.5118110236220472,0.9998569406232957,1163
BraTS-GLI-00529-100,union,True,0.4336283185840708,0.2768361581920904,0.2934131736526946,0.9999958451809153,177
BraTS-GLI-00529-100,voto_mayoria,True,0.33225806451612905,0.19922630560928434,0.2055888223552894,0.9999977840964882,119
BraTS-GLI-00529-100,interseccion,True,0.1425959780621572,0.07677165354330709,0.07784431137724551,0.9999990305422136,46
BraTS-GLI-00529-100,union_post,True,0.43823529411764706,0.2806026365348399,0.29740518962075846,0.9999958451809153,179
BraTS-GLI-02062-100,union,True,0.4241379310344828,0.26914660831509846,0.3474576271186441,0.9999572020382356,678
BraTS-GLI-02062-100,voto_mayoria,True,0.2452431289640592,0.13975903614457832,0.1638418079096045,0.9999746536342948,357
BraTS-GLI-02062-100,interseccion,True,0.05850091407678245,0.030131826741996232,0.030131826741996232,1.0,32
BraTS-GLI-02062-100,union_post,True,0.42914058053500287,0.27318840579710146,0.3549905838041431,0.99995595549566,695
BraTS-GLI-02063-102,union,True,0.6379814077025232,0.46840873634945396,0.7487531172069826,0.9996008990856708,6483
BraTS-GLI-02063-102,voto_mayoria,True,0.2953257790368272,0.17324470294972996,0.17331670822942644,0.9999997228465872,836
BraTS-GLI-02063-102,interseccion,True,0.26020961329960246,0.14956377233070212,0.14962593516209477,0.9999997228465872,722
BraTS-GLI-02063-102,union_post,True,0.6379814077025232,0.46840873634945396,0.7487531172069826,0.9996008990856708,6483
BraTS-GLI-00498-100,union,True,0.15287860881310147,0.08276586993281843,0.7520764119601329,0.9946029886023368,42568
BraTS-GLI-00498-100,voto_mayoria,True,0.1621862957044835,0.0882495844521161,0.7165697674418605,0.9952483406815982,37740
BraTS-GLI-00498-100,interseccion,True,0.11243878550440745,0.059568285595682856,0.059593023255813955,0.9999997228464337,289
BraTS-GLI-00498-100,union_post,True,0.1530121498481269,0.08284415614079167,0.7531146179401993,0.9946003556434564,42592
BraTS-GLI-00463-101,union,True,0.23617018683501725,0.13389624388491198,0.856524045261669,0.9915322647758859,70739
BraTS-GLI-00463-101,voto_mayoria,True,0.3324506845659626,0.19936482926709176,0.7158769448373409,0.9959350709875002,37405
BraTS-GLI-00463-101,interseccion,True,0.5953063090521182,0.4237979517444888,0.43166548797736914,0.9999708726552488,5093
BraTS-GLI-00463-101,union_post,True,0.2362640038967365,0.1339565583617559,0.85758486562942,0.9915243587823106,70808
BraTS-GLI-02060-100,union,True,0.4140806192285255,0.2610981518033375,0.7284605757196496,0.9950347567030785,50306
BraTS-GLI-02060-100,voto_mayoria,True,0.49363965113805575,0.32770356144265256,0.5808760951188986,0.9978569812737214,27035
BraTS-GLI-02060-100,interseccion,True,0.10907549569067018,0.05768368617683686,0.057972465581977474,0.9999861131497779,1258
BraTS-GLI-02060-100,union_post,True,0.41406783519235146,0.26108798622075496,0.7285106382978723,0.9950339234920651,50313
BraTS-GLI-00046-101,union,True,0.4681504221028396,0.30561122244488975,0.7834110487631392,0.9945017361694984,59389
BraTS-GLI-00046-101,voto_mayoria,True,0.5559851413842771,0.38502729945401093,0.4347190389630918,0.9995461194603574,14267
BraTS-GLI-00046-101,interseccion,True,0.032679992237531534,0.016611426767676768,0.016636370821149136,0.9999947190874139,459
BraTS-GLI-00046-101,union_post,True,0.4681755392625651,0.3056326304106548,0.7834900814036196,0.9945014582267308,59393
BraTS-GLI-00005-100,union,False,,,,0.9944635337442072,39979
BraTS-GLI-00005-100,voto_mayoria,False,,,,0.9963260099110487,26530
BraTS-GLI-00005-100,interseccion,False,,,,0.9977835578072497,16005
BraTS-GLI-00005-100,union_post,False,,,,0.9944635337442072,39979
