case_id,metodo,variante,multimodal,et_presente,dice,jaccard,sensibilidad,especificidad,pred_voxeles
BraTS-GLI-02063-106,Otsu,base,False,True,0.007249879168680522,0.003638127577007034,0.41338582677165353,0.9960382385388389,28712
BraTS-GLI-02063-106,Otsu,morf,False,True,0.0,0.0,0.0,0.9959767493198102,29051
BraTS-GLI-02063-106,Otsu,sub,False,True,0.008102757699921736,0.004067859289049138,0.3464566929133858,0.9970392387080728,21467
BraTS-GLI-02063-106,Otsu,sub_morf,False,True,0.0,0.0,0.0,0.997650391689095,16966
BraTS-GLI-02063-106,RegionGrowing,base,False,True,0.25732899022801303,0.14766355140186915,0.3110236220472441,0.9999610845257949,360
BraTS-GLI-02063-106,RegionGrowing,morf,False,True,0.2445054945054945,0.13928012519561817,0.35039370078740156,0.999946681645662,474
BraTS-GLI-02063-106,RegionGrowing,sub,False,True,0.3492723492723493,0.21158690176322417,0.33070866141732286,0.9999801960398174,227
BraTS-GLI-02063-106,RegionGrowing,sub_morf,False,True,0.31802120141342755,0.18907563025210083,0.3543307086614173,0.9999692553904856,312
BraTS-GLI-02063-106,Watershed,base,False,True,0.34415584415584416,0.20784313725490197,0.20866141732283464,0.9999998615107679,54
BraTS-GLI-02063-106,Watershed,morf,False,True,0.36012861736334406,0.2196078431372549,0.2204724409448819,0.9999998615107679,57
BraTS-GLI-02063-106,Watershed,sub,False,True,0.40625,0.2549019607843137,0.2559055118110236,0.9999998615107679,66
BraTS-GLI-02063-106,Watershed,sub_morf,False,True,0.40625,0.2549019607843137,0.2559055118110236,0.9999998615107679,66
BraTS-GLI-02063-106,GMM_multimodal,base,True,True,0.0032510442212688967,0.001628168734912893,0.905511811023622,0.9804717718783211,141239
BraTS-GLI-02063-106,GMM_multimodal,morf,True,True,0.0022731115327534706,0.0011378489952135113,0.952755905511811,0.970581009414775,212670
BraTS-GLI-00529-100,Otsu,base,False,True,0.009103322712790168,0.004572473708276178,0.3193612774451098,0.995223204498395,34651
BraTS-GLI-00529-100,Otsu,morf,False,True,0.0,0.0,0.0,0.9953621139497912,33488
BraTS-GLI-00529-100,Otsu,sub,False,True,0.005315391084945332,0.002664777710315051,0.15768463073852296,0.995963593259277,29224
BraTS-GLI-00529-100,Otsu,sub_morf,False,True,0.0,0.0,0.0,0.9964726970911142,25469
BraTS-GLI-00529-100,RegionGrowing,base,False,True,0.4074074074074074,0.2558139534883721,0.2634730538922156,0.9999979225904577,147
BraTS-GLI-00529-100,RegionGrowing,morf,False,True,0.43373493975903615,0.27692307692307694,0.2874251497005988,0.9999973686145798,163
BraTS-GLI-00529-100,RegionGrowing,sub,False,True,0.1824561403508772,0.10038610038610038,0.10379241516966067,0.9999976456025187,69
BraTS-GLI-00529-100,RegionGrowing,sub_morf,False,True,0.19444444444444445,0.1076923076923077,0.11177644710578842,0.9999973686145798,75
BraTS-GLI-00529-100,Watershed,base,False,True,0.15492957746478872,0.08396946564885496,0.08782435129740519,0.9999968146387018,67
BraTS-GLI-00529-100,Watershed,morf,False,True,0.16433566433566432,0.08952380952380952,0.09381237524950099,0.9999966761447323,71
BraTS-GLI-00529-100,Watershed,sub,False,True,0.27899159663865547,0.162109375,0.1656686626746507,0.9999984765663357,94
BraTS-GLI-00529-100,Watershed,sub_morf,False,True,0.2847571189279732,0.166015625,0.16966067864271456,0.9999984765663357,96
BraTS-GLI-00529-100,GMM_multimodal,base,True,True,6.058822511122267e-05,3.0295030316669623e-05,0.05588822355289421,0.8720671651433946,923771
BraTS-GLI-00529-100,GMM_multimodal,morf,True,True,0.000262448236929109,0.00013124134049376693,0.29740518962075846,0.8428353814975658,1134961
BraTS-GLI-02062-100,Otsu,base,False,True,0.022717167225837748,0.01148908332651893,0.2645951035781544,0.9967595433222022,23677
BraTS-GLI-02062-100,Otsu,morf,False,True,0.0,0.0,0.0,0.9969463862038208,22047
BraTS-GLI-02062-100,Otsu,sub,False,True,0.015012414111669266,0.007562976322066438,0.1224105461393597,0.997766334209145,16257
