metodo,base,mas_morfologia,mas_sustraccion,mas_sustraccion_morfologia
Otsu,0.16437976653213604,0.14982709598872798,0.11656922071927334,0.021603950436651274
RegionGrowing,0.32019189767717565,0.1681562769489736,0.2425179391473501,0.09461693165201804
Watershed,0.21266574364389823,0.1496206606107227,0.18679870448845387,0.1223292173714949
GMM_multimodal,0.09388449442473952,0.20243316536922704,,
