metodo,mean_dice
variational_spline,0.521685
otsu_T1c,0.48545
bspline,0.48105000000000003
gmm_T1c,0.48095999999999994
level_set,0.45546
spline,0.44997999999999994
sustraccion,0.44671000000000005
gmm_2d,0.3738
rango_doble,0.23818
fast_marching,0.184575
