metodo,old_mean_dice,new_mean_dice,delta_new_minus_old
variational_spline,0.50475,0.506725,0.001974999999999949
otsu_T1c,0.48545,0.48545,0.0
bspline,0.472625,0.48105,0.00842499999999996
gmm_T1c,0.48096,0.4809599999999999,-1.1102230246251565e-16
level_set,0.45546,0.45546,0.0
spline,0.44998,0.4499799999999999,-1.1102230246251565e-16
sustraccion,0.44671,0.44671,0.0
gmm_2d,0.3738,0.3738,0.0
rango_doble,0.23818,0.23818,0.0
fast_marching,0.184575,0.184575,0.0
