vol_bin,n,floor_hd95_mean,floor_hd95_median,floor_asd_mean,floor_asd_median,floor_chamfer_median,fallback_count
small,31,6.904367327309674,3.9574514264310214,2.5630107670324276,1.2604630463022801,1.7456620193266965,0
medium,19,6.465408775634247,6.5098899036621996,1.5983217242673284,1.4243069329497648,6.4128134554442315,0
large,17,3.6814602240441143,2.562434787153459,1.2404277030239106,1.1344679912127011,3.6930529287816314,0
