method,shape_score_threshold,n_cases,absent_n,absent_flood_rate,absent_median_fp_vox,absent_max_fp_vox,present_dominant_found_rate,small_n,small_lesionwise_mean,small_dominant_found_rate,small_lesion_tp,small_lesion_fn,small_lesion_fp,medium_n,medium_lesionwise_mean,medium_dominant_found_rate,medium_lesion_tp,medium_lesion_fn,medium_lesion_fp,large_n,large_lesionwise_mean,large_dominant_found_rate,large_lesion_tp,large_lesion_fn,large_lesion_fp,large_detection_ratio,keeps_large_detection_90pct,selection,delta_absent_flood_vs_otsu,delta_absent_flood_ci_low,delta_absent_flood_ci_high,paired_flood_mcnemar_p,delta_absent_median_fp_vs_otsu,paired_absent_fp_vox_delta_median_ci_low,paired_absent_fp_vox_delta_median_ci_high,paired_fp_vox_wilcoxon_p,small_detection_baseline_mean,small_delta_vs_detection_best,small_delta_ci_low,small_delta_ci_high,small_paired_wilcoxon_p,small_baseline_dominant_found_rate,small_dominant_found_delta,medium_detection_baseline_mean,medium_delta_vs_detection_best,medium_delta_ci_low,medium_delta_ci_high,medium_paired_wilcoxon_p,medium_baseline_dominant_found_rate,medium_dominant_found_delta,large_detection_baseline_mean,large_delta_vs_detection_best,large_delta_ci_low,large_delta_ci_high,large_paired_wilcoxon_p,large_baseline_dominant_found_rate,large_dominant_found_delta,clears_clean_bar
gmm_2d,0.0,100,33,1.0,94636.0,802975,0.9402985074626866,31,0.0029764435905203107,0.8709677419354839,44,22,4551,19,0.0028305967808639827,1.0,32,23,3188,17,0.0042083640030742735,1.0,33,26,3217,0.023878864477675937,False,closest_to_90pct_no_config_preserves_90pct,0.06060606060606061,0.0,0.15151515151515152,0.5,80701.0,53297.0,98627.0,0.17108511831611395,0.003375641289721859,-0.0003991976992015483,-0.0017859877269516898,0.0008325954547108122,,0.8387096774193549,0.032258064516129004,0.02329667042067737,-0.020466073639813388,-0.05368168587858806,-0.0005203739526845143,0.3524589538574219,0.6842105263157895,0.3157894736842105,0.1762380286972449,-0.1720296646941706,-0.275010479727772,-0.0928691059303674,0.0006561279296875,0.8235294117647058,0.17647058823529416,False
gmm_T1c,0.0,100,33,0.9696969696969697,18837.0,1420869,0.4925373134328358,31,0.000597699339160889,0.1935483870967742,6,60,25,19,0.01978277262088867,0.6842105263157895,13,42,6,17,0.17066766237600378,0.8235294117647058,14,45,3,0.9683929378782924,True,lowest_fp_while_large_detection_ge_90pct,0.030303030303030304,0.0,0.09090909090909091,1.0,4902.0,1941.0,4801.324999999802,6.437767297029495e-07,0.003375641289721859,-0.00277794195056097,-0.004268048923829895,-0.0011002229697972858,,0.8387096774193549,-0.6451612903225807,0.02329667042067737,-0.0035138977997886955,-0.009337021300062118,1.6840966533303132e-05,0.463071015014588,0.6842105263157895,0.0,0.1762380286972449,-0.005570366321241116,-0.017026058053049933,0.0029208787333439602,0.550923682773407,0.8235294117647058,0.0,False
otsu_T1c,0.01,100,33,0.7878787878787878,13772.0,464359,0.2835820895522388,31,0.0,0.0,0,66,23,19,0.001786973861223822,0.3157894736842105,6,49,9,17,0.16503766733855146,0.7647058823529411,13,46,4,0.9364475338184004,True,lowest_fp_while_large_detection_ge_90pct,-0.15151515151515152,-0.2727272727272727,-0.030303030303030304,0.0625,-163.0,0.0,0.0,0.043114446783075355,0.003375641289721859,-0.003375641289721859,-0.004677575325999683,-0.0020277658316282337,,0.8387096774193549,-0.8387096774193549,0.02329667042067737,-0.021509696559453548,-0.05431424594481585,-0.0020889078328955556,0.015906444101703374,0.6842105263157895,-0.368421052631579,0.1762380286972449,-0.011200361358693435,-0.027856028589474776,0.003551792255294662,0.1401460614684125,0.8235294117647058,-0.05882352941176472,True
sustraccion,0.0,100,33,0.9393939393939394,76152.0,134906,0.9104477611940298,31,0.003375641289721898,0.8387096774193549,50,16,5244,19,0.005380101364847322,0.9473684210526315,41,14,2990,17,0.008672524188809535,1.0,38,21,2086,0.04920915339848619,False,closest_to_90pct_no_config_preserves_90pct,0.0,-0.12121212121212122,0.12121212121212122,1.0,62217.0,21342.0,64331.0,0.23464361624792218,0.003375641289721859,3.911991415717298e-17,2.627156330412754e-17,5.235504747999376e-17,,0.8387096774193549,0.0,0.02329667042067737,-0.017916569055830046,-0.05195039722340493,0.0025418276437114405,0.9843215942382812,0.6842105263157895,0.26315789473684204,0.1762380286972449,-0.16756550450843535,-0.2706311335794025,-0.087634669485252,0.0008392333984375,0.8235294117647058,0.17647058823529416,False
variational_spline,0.02,100,33,0.7272727272727273,14118.0,29469,0.373134328358209,31,0.0005591394874500111,0.06451612903225806,2,64,21,19,0.01743069822566069,0.5263157894736842,10,45,6,17,0.16322056711685626,0.7647058823529411,13,46,3,0.9261370450145523,True,lowest_fp_while_large_detection_ge_90pct,-0.21212121212121213,-0.36363636363636365,-0.09090909090909091,0.015625,183.0,-228.0,2184.0,0.9157698068302125,0.003375641289721859,-0.0028165018022718482,-0.004342863085512975,-0.0011368585862888351,,0.8387096774193549,-0.7741935483870968,0.02329667042067737,-0.005865972195016677,-0.013327055735709609,3.1542151703034527e-17,0.5067455281526702,0.6842105263157895,-0.1578947368421053,0.1762380286972449,-0.013017461580388648,-0.039052384741166034,4.992751004295748e-17,0.07070114486598297,0.8235294117647058,-0.05882352941176472,False
variational_spline,0.02,100,33,0.7272727272727273,14118.0,29469,0.373134328358209,31,0.0005591394874500111,0.06451612903225806,2,64,21,19,0.01743069822566069,0.5263157894736842,10,45,6,17,0.16322056711685626,0.7647058823529411,13,46,3,0.9261370450145523,True,global_best_fp_while_large_detection_ge_90pct,-0.21212121212121213,-0.36363636363636365,-0.09090909090909091,0.015625,183.0,-228.0,2184.0,0.9157698068302125,0.003375641289721859,-0.0028165018022718482,-0.004342863085512975,-0.0011368585862888351,,0.8387096774193549,-0.7741935483870968,0.02329667042067737,-0.005865972195016677,-0.013327055735709609,3.1542151703034527e-17,0.5067455281526702,0.6842105263157895,-0.1578947368421053,0.1762380286972449,-0.013017461580388648,-0.039052384741166034,4.992751004295748e-17,0.07070114486598297,0.8235294117647058,-0.05882352941176472,False
