mode,method,threshold,n_cases,absent_n,absent_flood_rate,absent_median_fp_vox,absent_max_fp_vox,small_n,small_lesionwise_mean,small_lesion_tp,small_lesion_fn,small_lesion_fp,medium_n,medium_lesionwise_mean,medium_lesion_tp,medium_lesion_fn,medium_lesion_fp,large_n,large_lesionwise_mean,large_lesion_tp,large_lesion_fn,large_lesion_fp,present_dominant_found_rate,large_dominant_found_rate,large_detection_ratio_vs_baseline,large_detection_drop,keeps_large_detection_90pct
post_filter,gmm_T1c,0.002,100,33,0.7272727272727273,16573.0,1420869,31,0.0005802194704886,5,61,16,19,0.019763824779626,11,44,5,17,0.1363643377502311,11,48,2,0.40298507462686567,0.6470588235294118,0.7737509251450386,0.22624907485496137,False
post_filter,gmm_T1c,0.005,100,33,0.4545454545454545,0.0,1420869,31,0.0005802194704886,5,61,9,19,0.0162851975642536,5,50,3,17,0.1206589406904052,7,52,0,0.2537313432835821,0.4117647058823529,0.6846362364713141,0.3153637635286859,False
post_filter,gmm_T1c,0.01,100,33,0.0303030303030303,0.0,11004,31,0.0,0,66,2,19,0.0,0,55,1,17,0.0406366192242678,3,56,0,0.04477611940298507,0.17647058823529413,0.23057803996478238,0.7694219600352177,False
post_filter,gmm_T1c,0.02,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0116352368803585,1,58,0,0.014925373134328358,0.058823529411764705,0.06602001262931961,0.9339799873706804,False
post_filter,gmm_T1c,0.05,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0,0.0,0.0,0.0,1.0,False
post_filter,gmm_T1c,0.1,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0,0.0,0.0,0.0,1.0,False
post_filter,gmm_T1c,0.2,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0,0.0,0.0,0.0,1.0,False
post_filter,otsu_T1c,0.0,100,33,0.9393939393939394,13935.0,740909,31,0.0001601636746012,8,58,23,19,0.0030580804641909,10,45,9,17,0.1650376673385514,13,46,4,0.4626865671641791,0.7647058823529411,0.9364475338184002,0.06355246618159982,True
post_filter,otsu_T1c,0.001,100,33,0.8181818181818182,13841.0,740909,31,0.0001601636746012,8,58,19,19,0.0030485738871472,9,46,8,17,0.151934120873407,12,47,2,0.43283582089552236,0.7058823529411765,0.8620961207777181,0.13790387922228187,False
post_filter,otsu_T1c,0.002,100,33,0.696969696969697,13528.0,740909,31,0.0001601636746012,8,58,13,19,0.0030485738871472,9,46,7,17,0.1362278622118002,11,48,2,0.417910447761194,0.6470588235294118,0.7729765432511889,0.22702345674881108,False
