situation,n_case_method_rows,surface_asd_median,surface_hd95_median,surface_chamfer_median
unifocal,85,39.47912198482374,102.62113493960987,3071.2219391259187
multifocal,235,27.00911645415693,83.5930805587546,1559.7770682190824
thin_shell_high_surface,170,26.268245002768484,81.0424749952686,1467.1483710122418
compact_low_surface,165,34.25613526343221,93.60388383688414,2421.8438878021525
low_isoperimetric_irregular,170,26.268245002768484,81.0424749952686,1467.1483710122418
high_isoperimetric_compact,165,34.25613526343221,93.60388383688414,2421.8438878021525
