trace_label,method,baseline_flood,baseline_median_fp,baseline_large_lesionwise,p1_spatial_flood,p1_spatial_median_fp,p1_spatial_large_lesionwise,p2b_soft_shape_flood,p2b_soft_shape_median_fp,p2b_soft_shape_large_lesionwise,p3_cubical_persistence_flood,p3_cubical_persistence_median_fp,p3_cubical_persistence_large_lesionwise,flood_monotonic_nonincreasing,detection_monotonic_nondecreasing
best_fp_restraint_any_phase,gmm_2d,1.0,94636.0,0.0042083640030742,0.0,129.0,0.0071877855590334,1.0,94636.0,0.0042083640030742,0.9090909090909092,72438.0,0.0820828135200666,False,False
best_detection_any_phase,variational_spline,0.9696969696969696,18837.0,0.1762380286972449,0.8181818181818182,18518.0,0.1625716320653309,0.7272727272727273,14118.0,0.1632205671168562,0.9696969696969696,18837.0,0.1762380286972449,False,False
baseline_best_fp_restraint,otsu_T1c,0.9393939393939394,13935.0,0.1650376673385514,0.8181818181818182,13841.0,0.151934120873407,0.7878787878787878,13772.0,0.1650376673385514,0.9393939393939394,13935.0,0.1650376673385514,False,False
baseline_best_detection,variational_spline,0.9696969696969696,18837.0,0.1762380286972449,0.8181818181818182,18518.0,0.1625716320653309,0.7272727272727273,14118.0,0.1632205671168562,0.9696969696969696,18837.0,0.1762380286972449,False,False
